  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-12-17T00:15:00.000Z 100  2.850 //   --- __  9.62 //  1.70 //   --- __  1.70 //   --- __   --- __  3.50 //  0.10 //   --- __  3.35 //   --- __   --- __   --- __   --- __  237.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  277.9 //    --- __  229.2 //   68.8 //    --- __   37.9 //  56.3 //    --- __    --- __   1.6 // 3.38 // 6.00 //  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T00:30:00.000Z 100  3.100 //   --- __  9.43 //  1.55 //   --- __  1.55 //   --- __   --- __  3.65 //   --- __   --- __  3.36 //   --- __   --- __   --- __   --- __  237.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  305.3 //    --- __  240.0 //   92.0 //    --- __   49.6 //  78.3 //    --- __    --- __   2.4 // 3.04 // 4.65 //  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T01:00:00.000Z 100  2.700 //   --- __  8.62 //  1.70 //   --- __  1.70 //   --- __   --- __  3.25 //   --- __   --- __  3.30 //   --- __   --- __   --- __   --- __  257.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  293.8 //    --- __  249.7 //   62.6 //    --- __   34.2 //  52.9 //    --- __    --- __   1.3 // 3.19 // 4.93 //  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T02:00:00.000Z 100  2.700 //   --- __  8.92 //  1.85 //   --- __  1.85 //   --- __   --- __  3.25 //   --- __   --- __  2.92 //   --- __   --- __   --- __   --- __  253.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  280.4 //    --- __  241.6 //   55.0 //    --- __   30.1 //  46.4 //    --- __    --- __   1.1 // 3.31 // 5.02 //  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T02:30:00.000Z 100  3.800 //   --- __ 11.74 //  2.15 //   --- __  2.15 //   --- __   --- __  4.35 //   --- __   --- __  2.71 //   --- __   --- __   --- __   --- __  284.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  315.2 //    --- __  277.3 //   54.6 //    --- __   28.2 //  55.8 //    --- __    --- __   2.2 // 3.09 // 1.89 //  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T03:15:00.000Z 100  2.200 //   --- __  7.52 //  1.90 //   --- __  1.90 //   --- __   --- __  2.75 //   --- __   --- __  2.57 //   --- __   --- __   --- __   --- __  292.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  272.7 //    --- __  246.1 //   37.6 //    --- __   19.9 //  38.7 //    --- __    --- __   0.5 // 3.42 // 1.98 //  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T03:45:00.000Z 100  1.900 //   --- __  6.15 //  1.70 //   --- __  1.70 //   --- __   --- __  2.45 //   --- __   --- __  2.63 //   --- __   --- __   --- __   --- __  315.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  288.7 //    --- __  250.0 //   54.7 //    --- __   29.4 //  54.1 //    --- __    --- __   0.6 // 3.24 // 2.31 //  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T05:00:00.000Z 100  2.050 //   --- __  7.30 //  1.45 //   --- __  1.45 //   --- __   --- __  2.60 //   --- __   --- __  3.31 //   --- __   --- __   --- __   --- __  245.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  244.3 //    --- __  213.4 //   42.4 //    --- __   23.4 //  44.3 //    --- __    --- __   0.6 // 3.56 // 2.12 //  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T05:15:00.000Z   0    --- __   --- __   --- __  3.30 //  4.50 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  3.30 //   --- __   --- __   --- __    --- __    --- __    --- __  102.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-12-17T05:30:00.000Z  70  3.900 //   --- __ 14.56 //  2.85 //   --- __  2.85 //   --- __   --- __  4.65 //  0.20 //   --- __  3.69 //   --- __   --- __   --- __   --- __  220.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  221.4 //    --- __  189.3 //   45.4 //    --- __   25.0 //  44.1 //    --- __    --- __   2.1 // 3.73 // 2.60 //  --- __  --- __
