  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AL945   45.07N  276.44E 2019-01-01T00:00:00.000Z  50  2.200 //   --- __  7.94 //  1.65 //   --- __  1.65 //   --- __   --- __  3.15 //  0.20 //   --- __  3.03 //   --- __   --- __   --- __   --- __  236.0 //  236.0 //    --- __    --- __    --- __    --- __    --- __    --- __  240.5 //    --- __  219.7 //   29.6 //    --- __   16.1 //  27.3 //    --- __    --- __   0.4 // 3.61 // 2.87 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T00:15:00.000Z  50  2.200 //   --- __  7.63 //  1.67 //  2.10 //  1.83 //   --- __   --- __  3.05 //  0.10 //   --- __  2.85 //  1.67 //   --- __   --- __  1.83 //  247.0 //  247.0 //    --- __  120.0 //    --- __    --- __    --- __    --- __  273.9 //    --- __  229.5 //   63.8 //    --- __   35.5 //  52.6 //    --- __    --- __   0.9 // 3.47 // 4.96 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T00:30:00.000Z  50  2.175 //   --- __  6.22 //  1.65 //  2.53 //  1.77 //   --- __   --- __  3.25 //  0.22 //   --- __  2.68 //  1.65 //   --- __   --- __  1.77 //  388.0 //  388.0 //    --- __  120.0 //    --- __    --- __    --- __    --- __  328.2 //    --- __  280.4 //   66.7 //    --- __   34.5 //  74.5 //    --- __    --- __   0.9 // 2.86 // 1.53 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T00:45:00.000Z  33  1.875 //   --- __  6.84 //  1.55 //  2.78 //  1.73 //   --- __   --- __  2.58 //  0.10 //   --- __  2.52 //  1.55 //   --- __   --- __  1.73 //  262.5 //  262.5 //    --- __  115.0 //    --- __    --- __    --- __    --- __  246.3 //    --- __  230.3 //   22.3 //    --- __   11.9 //  23.0 //    --- __    --- __   0.2 // 3.65 // 2.00 //  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T01:00:00.000Z   0    --- __   --- __   --- __  1.70 //  2.55 //   --- __   --- __   --- __   --- __   --- __   --- __  2.36 //  1.70 //   --- __   --- __   --- __    --- __    --- __    --- __  115.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T01:15:00.000Z  75    --- __   --- __   --- __  1.70 //  3.35 //   --- __   --- __   --- __   --- __   --- __   --- __  2.22 //  1.70 //   --- __   --- __   --- __    --- __    --- __    --- __  115.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T01:30:00.000Z  75    --- __   --- __   --- __  1.70 //  2.85 //   --- __   --- __   --- __   --- __   --- __   --- __  2.09 //  1.70 //   --- __   --- __   --- __    --- __    --- __    --- __  112.5 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T01:45:00.000Z  75    --- __   --- __   --- __  1.67 //  2.47 //   --- __   --- __   --- __   --- __   --- __   --- __  1.97 //  1.67 //   --- __   --- __   --- __    --- __    --- __    --- __  112.5 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T02:00:00.000Z  75    --- __   --- __   --- __  1.70 //  4.25 //   --- __   --- __   --- __   --- __   --- __   --- __  1.86 //  1.70 //   --- __   --- __   --- __    --- __    --- __    --- __  110.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AL945   45.07N  276.44E 2019-01-01T02:15:00.000Z   0  1.925 //   --- __  5.72 //  1.65 //  3.60 //  1.77 //   --- __   --- __  2.60 //  0.05 //   --- __  1.77 //  1.65 //   --- __   --- __  1.77 //  377.9 //  377.9 //    --- __  107.5 //    --- __    --- __    --- __    --- __  312.9 //    --- __  268.9 //   61.8 //    --- __   33.1 //  63.3 //    --- __    --- __   0.7 // 2.97 // 2.07 //  --- __  --- __
