  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AS00Q   -7.95N   345.6E 2009-01-02T00:00:05.000Z 100  4.800 //   --- __ 19.19 //  3.35 //   --- __  3.35 //   --- __   --- __  5.35 //   --- __   --- __  4.79 //   --- __   --- __   --- __   --- __  236.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  234.7 //    --- __  223.6 //   16.3 //    --- __   10.6 //  18.2 //    --- __    --- __   1.2 // 4.00 // 1.35 //  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T00:30:05.000Z 100  4.800 //   --- __ 17.68 //  2.65 //   --- __  2.65 //   --- __   --- __  5.35 //   --- __   --- __  4.54 //   --- __   --- __   --- __   --- __  240.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  253.7 //    --- __  235.3 //   26.7 //    --- __   13.6 //  27.6 //    --- __    --- __   1.7 // 3.68 // 1.77 //  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T00:45:04.000Z   0  3.900 //   --- __ 13.11 //  2.80 //   --- __  2.80 //   --- __   --- __  4.45 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  253.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __ 3.36 //  --- __  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T01:00:05.000Z 100  4.800 //   --- __ 15.23 //  2.65 //   --- __  2.65 //   --- __   --- __  5.35 //   --- __   --- __  4.34 //   --- __   --- __   --- __   --- __  282.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  310.9 //    --- __  275.2 //   51.3 //    --- __   26.7 //  50.4 //    --- __    --- __   3.2 // 3.17 // 2.18 //  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T01:15:05.000Z 100  4.650 //   --- __ 14.09 //  2.80 //   --- __  2.80 //   --- __   --- __  5.20 //   --- __   --- __  4.26 //   --- __   --- __   --- __   --- __  326.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  344.6 //    --- __  310.7 //   50.1 //    --- __   24.8 //  57.4 //    --- __    --- __   3.0 // 3.03 // 1.24 //  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T01:30:05.000Z 100  4.000 //   --- __ 12.97 //  2.30 //   --- __  2.30 //   --- __   --- __  4.60 //  0.05 //   --- __  4.19 //   --- __   --- __   --- __   --- __  317.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  319.0 //    --- __  291.6 //   40.4 //    --- __   20.0 //  47.8 //    --- __    --- __   1.8 // 3.24 // 1.15 //  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T01:45:05.000Z 100  4.550 //   --- __ 13.25 //  2.65 //   --- __  2.65 //   --- __   --- __  5.10 //   --- __   --- __  4.13 //   --- __   --- __   --- __   --- __  320.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  349.8 //    --- __  304.8 //   65.3 //    --- __   33.2 //  68.1 //    --- __    --- __   3.7 // 2.91 // 1.73 //  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T02:00:06.000Z 100  3.650 //   --- __ 12.12 //  2.65 //   --- __  2.65 //   --- __   --- __  4.25 //  0.05 //   --- __  4.07 //   --- __   --- __   --- __   --- __  312.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  306.9 //    --- __  276.9 //   43.4 //    --- __   22.1 //  46.6 //    --- __    --- __   1.6 // 3.32 // 1.60 //  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T02:15:04.000Z 100  3.850 //   --- __ 12.66 //  2.85 //   --- __  2.85 //   --- __   --- __  4.40 //   --- __   --- __  4.01 //   --- __   --- __   --- __   --- __  305.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  304.7 //    --- __  272.8 //   46.0 //    --- __   24.0 //  46.2 //    --- __    --- __   1.9 // 3.29 // 2.03 //  --- __  --- __
     AS00Q   -7.95N   345.6E 2009-01-02T02:45:05.000Z 100  3.850 //   --- __ 12.08 //  2.30 //   --- __  2.30 //   --- __   --- __  4.45 //  0.05 //   --- __  3.85 //   --- __   --- __   --- __   --- __  317.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  326.7 //    --- __  289.5 //   53.9 //    --- __   28.2 //  55.3 //    --- __    --- __   2.2 // 3.14 // 1.89 //  --- __  --- __
