  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AL945   45.07N  276.44E 2019-05-13T00:00:00.000Z 100  4.825 //   --- __ 14.62 //  1.45 //  2.88 //  2.65 //  1.45 //  2.05 //  5.57 //  0.08 //   --- __  5.34 //  2.08 //   --- __   --- __  2.65 //  257.0 //  257.0 //  118.7 //  107.5 //  103.9 //   13.7 //    --- __    --- __  263.8 //    --- __  189.2 //   94.9 //    --- __   54.9 // 115.6 //    --- __    --- __   7.0 // 3.03 // 1.62 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T00:15:00.000Z 100  4.900 //   --- __ 15.16 //  1.65 //  2.67 //  2.30 //  1.65 //  1.85 //  5.72 //  0.05 //   --- __  5.32 //  1.88 //   --- __   --- __  2.30 //  250.0 //  250.0 //  107.1 //  105.0 //   95.6 //    5.5 //    --- __    --- __  262.0 //    --- __  200.3 //   78.7 //    --- __   46.2 //  99.5 //    --- __    --- __   6.2 // 3.10 // 1.47 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T00:30:00.000Z 100  5.188 //  2.28 // 15.58 //  1.70 //  2.30 //  1.92 //  1.70 //  1.73 //  6.05 //  0.10 //   --- __  5.29 //  1.75 //   --- __   --- __   --- __  243.0 //  263.0 //  109.0 //  105.0 //  110.0 //   20.0 //    --- __    --- __  285.6 //  174.8 //  218.6 //   92.1 //   25.3 //   51.9 //  99.4 //    --- __    --- __   7.5 // 3.02 // 2.01 // 0.38 //  --- __
     AL945   45.07N  276.44E 2019-05-13T00:45:00.000Z 100  5.525 //   --- __ 17.30 //  1.52 //  1.85 //  1.77 //   --- __   --- __  6.28 //  0.05 //   --- __  5.23 //  1.52 //   --- __   --- __  1.77 //  254.0 //  254.0 //    --- __  105.0 //    --- __    --- __    --- __    --- __  281.1 //    --- __  225.5 //   79.4 //    --- __   44.1 //  69.9 //    --- __    --- __   7.2 // 3.13 // 2.90 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T01:00:00.000Z 100  5.550 //   --- __ 17.78 //  1.50 //  1.77 //  1.77 //   --- __   --- __  6.30 //  0.10 //   --- __  5.15 //  1.50 //   --- __   --- __   --- __  236.0 //  236.0 //    --- __  105.0 //    --- __    --- __    --- __    --- __  266.8 //    --- __  219.4 //   66.6 //    --- __   35.7 //  66.6 //    --- __    --- __   5.9 // 3.20 // 2.17 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T01:15:00.000Z 100  5.625 //   --- __ 17.49 //  1.52 //   --- __  1.52 //   --- __   --- __  6.43 //  0.08 //   --- __  5.06 //   --- __   --- __   --- __   --- __  231.0 //  231.0 //    --- __    --- __    --- __    --- __    --- __    --- __  285.0 //    --- __  231.0 //   76.4 //    --- __   40.7 //  71.4 //    --- __    --- __   6.7 // 3.11 // 2.67 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T01:30:00.000Z 100  5.750 //   --- __ 18.20 //  1.77 //   --- __  1.77 //   --- __   --- __  6.50 //  0.08 //   --- __  4.94 //   --- __   --- __   --- __   --- __  231.0 //  231.0 //    --- __    --- __    --- __    --- __    --- __    --- __  281.7 //    --- __  234.1 //   67.4 //    --- __   36.0 //  59.6 //    --- __    --- __   6.1 // 3.17 // 3.19 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T01:45:00.000Z 100  5.650 //   --- __ 17.97 //  1.65 //   --- __  1.65 //   --- __   --- __  6.35 //  0.08 //   --- __  4.81 //   --- __   --- __   --- __   --- __  229.0 //  229.0 //    --- __    --- __    --- __    --- __    --- __    --- __  281.9 //    --- __  233.8 //   68.2 //    --- __   36.6 //  57.3 //    --- __    --- __   6.0 // 3.18 // 3.90 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T02:00:00.000Z 100  5.475 //   --- __ 17.68 //  1.65 //   --- __  1.65 //   --- __   --- __  6.30 //  0.10 //   --- __  4.67 //   --- __   --- __   --- __   --- __  226.5 //  226.5 //    --- __    --- __    --- __    --- __    --- __    --- __  271.0 //    --- __  233.9 //   53.0 //    --- __   27.6 //  49.8 //    --- __    --- __   4.3 // 3.23 // 2.50 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T02:15:00.000Z 100  5.350 //   --- __ 17.04 //  1.65 //   --- __  1.65 //   --- __   --- __  6.20 //  0.08 //   --- __  4.52 //   --- __   --- __   --- __   --- __  229.0 //  229.0 //    --- __    --- __    --- __    --- __    --- __    --- __  283.8 //    --- __  236.7 //   66.8 //    --- __   35.6 //  56.0 //    --- __    --- __   5.2 // 3.19 // 3.80 //  --- __  --- __
     AL945   45.07N  276.44E 2019-05-13T02:30:00.000Z 100  5.175 //   --- __ 16.97 //  1.65 //   --- __  1.65 //   --- __   --- __  6.03 //  0.13 //   --- __  4.37 //   --- __   --- __   --- __   --- __  229.0 //  229.0 //    --- __    --- __    --- __    --- __    --- __    --- __  273.8 //    --- __  234.3 //   56.1 //    --- __   29.8 //  47.8 //    --- __    --- __   4.1 // 3.28 // 3.52 //  --- __  --- __
