  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AN438   37.39N  126.95E 2009-02-17T00:00:00.000Z  70  5.025 //   --- __ 20.06 //  3.75 //   --- __  3.75 //   --- __   --- __  5.68 //   --- __   --- __  5.00 //   --- __   --- __   --- __   --- __  220.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  185.6 //    --- __  150.3 //   39.0 //    --- __   23.8 //  57.4 //    --- __    --- __   3.5 // 3.99 // 1.26 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T00:08:00.000Z  75    --- __   --- __   --- __   --- __  3.85 //   --- __   --- __   --- __   --- __   --- __   --- __  5.19 //  3.00 //   --- __   --- __   --- __    --- __    --- __    --- __  115.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T00:23:00.000Z  33  5.100 //   --- __ 19.37 //  3.00 //  4.65 //  4.65 //   --- __   --- __  5.80 //  0.10 //   --- __  5.42 //  3.00 //   --- __   --- __   --- __  255.0 //  255.0 //    --- __  110.0 //  110.0 //   20.0 //    --- __    --- __  186.2 //    --- __  145.4 //   47.9 //    --- __   27.7 //  67.3 //    --- __    --- __   --- __ 3.80 // 1.32 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T00:38:00.000Z  75    --- __   --- __   --- __   --- __  5.85 //   --- __   --- __   --- __   --- __   --- __   --- __  5.55 //  3.00 //   --- __   --- __   --- __    --- __    --- __    --- __  110.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T00:53:00.000Z  33  4.850 //   --- __ 17.68 //  3.00 //  4.45 //  4.50 //   --- __   --- __  5.45 //  0.05 //   --- __  5.75 //  3.00 //   --- __   --- __   --- __  275.0 //  275.0 //    --- __  110.0 //  110.0 //   20.0 //    --- __    --- __  194.5 //    --- __  141.8 //   65.5 //    --- __   37.2 //  81.9 //    --- __    --- __   --- __ 3.64 // 1.66 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T01:08:00.000Z  33  4.800 //   --- __ 18.79 //  3.00 //  4.45 //  4.25 //   --- __   --- __  5.40 //  0.10 //   --- __  5.88 //  3.00 //   --- __   --- __  4.25 //  260.0 //  260.0 //    --- __  110.0 //  110.0 //   20.0 //    --- __    --- __  180.2 //    --- __  137.5 //   41.3 //    --- __   26.6 //  79.5 //    --- __    --- __   --- __ 3.91 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T01:23:00.000Z  75  5.350 //   --- __ 19.57 //  3.00 //  4.70 //  4.05 //   --- __   --- __  6.00 //  0.10 //   --- __  6.00 //  3.00 //   --- __   --- __  4.05 //  255.0 //  255.0 //    --- __  110.0 //  110.0 //   20.0 //    --- __    --- __  204.3 //    --- __  149.4 //   60.8 //    --- __   37.8 //  88.8 //    --- __    --- __   --- __ 3.66 // 1.36 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T01:38:00.000Z  33  4.950 //   --- __ 19.03 //  3.05 //  4.35 //  4.50 //   --- __   --- __  5.55 //  0.15 //   --- __  6.11 //  3.05 //   --- __   --- __   --- __  240.0 //  240.0 //    --- __  110.0 //  110.0 //   20.0 //    --- __    --- __  177.6 //    --- __  134.8 //   50.6 //    --- __   29.6 //  70.4 //    --- __    --- __   --- __ 3.84 // 1.44 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T01:53:00.000Z  50  5.251 //  4.47 // 19.37 //  3.00 //   --- __  3.25 //  3.00 //  3.11 //  5.85 //  0.10 //   --- __  6.20 //   --- __   --- __   --- __   --- __  185.0 //  265.0 //  107.7 //    --- __  110.0 //   20.0 //    --- __    --- __  214.0 //  182.0 //  139.3 //   39.9 //   59.4 //   43.7 // 106.1 //    --- __    --- __   --- __ 3.69 // 1.03 // 0.29 //  --- __
     AN438   37.39N  126.95E 2009-02-17T02:08:00.000Z 100  5.200 //   --- __ 20.27 //  3.05 //   --- __  4.85 //  3.05 //  3.11 //  5.85 //  0.15 //   --- __  6.28 //   --- __   --- __   --- __   --- __  240.0 //  240.0 //  105.0 //    --- __  110.0 //   20.0 //    --- __    --- __  195.0 //    --- __  135.0 //   72.9 //    --- __   41.6 //  97.6 //    --- __    --- __   --- __ 3.90 // 1.54 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T02:23:00.000Z  75  5.300 //   --- __ 19.16 //  3.75 //   --- __  3.75 //   --- __   --- __  6.20 //  0.30 //   --- __  6.35 //   --- __   --- __   --- __   --- __  265.0 //  265.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  216.0 //    --- __  164.9 //   46.3 //    --- __   36.2 //  69.3 //    --- __    --- __   --- __ 3.62 // 1.58 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-17T02:38:00.000Z 100  5.275 //  4.20 // 17.93 //  3.30 //   --- __  3.30 //   --- __   --- __  5.95 //  0.20 //   --- __  6.41 //   --- __   --- __   --- __   --- __  180.0 //  290.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  213.2 //  170.4 //  144.7 //   44.6 //   51.0 //   41.7 //  91.1 //    --- __    --- __   --- __ 3.41 // 1.23 // 0.38 //  --- __
