  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AN438   37.39N  126.95E 2009-02-15T00:08:00.000Z  33  4.350 //   --- __ 16.10 //  3.60 //   --- __  3.60 //   --- __   --- __  5.10 //  0.15 //   --- __  5.23 //   --- __   --- __   --- __   --- __  245.0 //  245.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  193.4 //    --- __  146.3 //   50.9 //    --- __   31.6 //  79.0 //    --- __    --- __   --- __ 3.70 // 1.25 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T00:23:00.000Z  50  5.050 //   --- __ 18.90 //  4.00 //   --- __  4.00 //   --- __   --- __  5.85 //  0.15 //   --- __  5.42 //   --- __   --- __   --- __   --- __  215.0 //  215.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  208.1 //    --- __  153.4 //   67.4 //    --- __   39.1 //  84.5 //    --- __    --- __   --- __ 3.74 // 1.63 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T00:30:00.000Z 100  4.400 //   --- __ 17.01 //  3.35 //   --- __  3.35 //   --- __   --- __  5.05 //   --- __   --- __  5.38 //   --- __   --- __   --- __   --- __  230.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  184.7 //    --- __  141.2 //   41.9 //    --- __   27.9 //  74.9 //    --- __    --- __   3.2 // 3.87 // 1.08 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T00:38:00.000Z  75    --- __   --- __   --- __   --- __   --- __   --- __   --- __   --- __   --- __   --- __   --- __  5.55 //   --- __   --- __   --- __   --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T00:53:00.000Z  33    --- __   --- __   --- __   --- __   --- __   --- __   --- __   --- __   --- __   --- __   --- __  5.70 //   --- __   --- __   --- __   --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T01:00:00.000Z  70  6.475 //   --- __ 21.38 //  4.75 //   --- __  4.75 //   --- __   --- __  7.13 //   --- __   --- __  5.68 //   --- __   --- __   --- __   --- __  295.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  233.1 //    --- __  170.5 //   71.0 //    --- __   41.5 // 110.9 //    --- __    --- __   9.6 // 3.30 // 1.03 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T01:08:00.000Z  33  5.900 //   --- __ 20.06 //  3.25 //  3.60 //  3.90 //   --- __   --- __  6.50 //  0.25 //   --- __  5.88 //  3.25 //   --- __   --- __   --- __  290.0 //  290.0 //    --- __   95.0 //  110.0 //   20.0 //    --- __    --- __  234.3 //    --- __  179.6 //   57.4 //    --- __   38.9 // 104.5 //    --- __    --- __   --- __ 3.40 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T01:15:00.000Z  70  6.525 //   --- __ 21.03 //  4.25 //   --- __  4.25 //   --- __   --- __  7.18 //   --- __   --- __  5.80 //   --- __   --- __   --- __   --- __  200.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  257.3 //    --- __  165.6 //  130.5 //    --- __   70.3 // 147.2 //    --- __    --- __  15.5 // 3.22 // 2.10 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T01:23:00.000Z  50  6.150 //  5.22 // 21.94 //  3.10 //  4.10 //  4.00 //   --- __   --- __  6.85 //  0.10 //   --- __  6.00 //  3.10 //   --- __   --- __  4.00 //  265.0 //  290.0 //    --- __  110.0 //  110.0 //   20.0 //    --- __    --- __  229.6 //  204.1 //  185.6 //   22.7 //   33.1 //   32.9 //  75.1 //    --- __    --- __   --- __ 3.57 // 1.00 // 0.19 //  --- __
     AN438   37.39N  126.95E 2009-02-15T01:38:00.000Z  33  5.700 //   --- __ 20.84 //  3.00 //  3.75 //  4.05 //   --- __   --- __  6.25 //  0.10 //   --- __  6.11 //  3.00 //   --- __   --- __   --- __  265.0 //  265.0 //    --- __  110.0 //  110.0 //   20.0 //    --- __    --- __  209.8 //    --- __  162.2 //   44.7 //    --- __   32.0 //  88.5 //    --- __    --- __   --- __ 3.66 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T01:53:00.000Z  50  6.400 //   --- __ 22.50 //  4.25 //   --- __  4.25 //   --- __   --- __  7.60 //  0.65 //   --- __  6.20 //   --- __   --- __   --- __   --- __  270.0 //  270.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  222.9 //    --- __  174.3 //   52.3 //    --- __   35.0 //  93.4 //    --- __    --- __   --- __ 3.52 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T02:00:00.000Z  50  6.650 //   --- __ 23.09 //  6.38 //   --- __  6.38 //   --- __   --- __  7.35 //  0.05 //   --- __  6.10 //   --- __   --- __   --- __   --- __  311.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  200.9 //    --- __  150.5 //   65.4 //    --- __   36.4 //  75.9 //    --- __    --- __   8.7 // 3.47 // 1.74 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T02:08:00.000Z 100  6.800 //   --- __ 23.80 //  4.65 //   --- __  4.65 //   --- __   --- __  7.50 //  0.15 //   --- __  6.28 //   --- __   --- __   --- __   --- __  265.0 //  265.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  225.8 //    --- __  169.9 //   67.5 //    --- __   41.2 //  95.7 //    --- __    --- __   --- __ 3.50 // 1.31 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T02:15:00.000Z  70  6.850 //   --- __ 23.99 //  4.90 //   --- __  4.90 //   --- __   --- __  7.50 //   --- __   --- __  6.17 //   --- __   --- __   --- __   --- __  255.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  216.4 //    --- __  161.2 //   64.7 //    --- __   38.0 //  93.4 //    --- __    --- __   9.8 // 3.50 // 1.18 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T02:23:00.000Z  50  6.950 //   --- __ 24.92 //  3.00 //  4.15 //  4.75 //   --- __   --- __   --- __  0.15 //   --- __  6.35 //  3.00 //   --- __   --- __   --- __  265.0 //  265.0 //    --- __   90.0 //  110.0 //   20.0 //    --- __    --- __  217.2 //    --- __  168.7 //   54.4 //    --- __   34.2 //  91.1 //    --- __    --- __   --- __ 3.59 // 1.01 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T02:30:00.000Z  50  7.275 //   --- __ 26.15 //  5.95 //   --- __  5.95 //   --- __   --- __  7.93 //   --- __   --- __  6.24 //   --- __   --- __   --- __   --- __  258.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  203.8 //    --- __  153.5 //   61.7 //    --- __   34.4 //  83.3 //    --- __    --- __   9.9 // 3.59 // 1.28 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T02:38:00.000Z  75  7.400 //   --- __ 27.13 //  3.90 //   --- __  3.90 //   --- __   --- __  7.90 //  0.10 //   --- __  6.41 //   --- __   --- __   --- __   --- __  255.0 //  255.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  227.0 //    --- __  200.1 //   33.4 //    --- __   24.3 //  52.4 //    --- __    --- __   --- __ 3.67 // 1.39 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T02:45:00.000Z  70  7.450 //   --- __ 28.08 //  5.55 //   --- __  5.55 //   --- __   --- __  8.10 //   --- __   --- __  6.30 //   --- __   --- __   --- __   --- __  234.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  196.9 //    --- __  153.2 //   52.8 //    --- __   30.2 //  73.0 //    --- __    --- __   9.2 // 3.77 // 1.23 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T02:53:00.000Z  50  7.400 //   --- __ 26.96 //  4.15 //   --- __  4.15 //   --- __   --- __  8.05 //  0.15 //   --- __  6.47 //   --- __   --- __   --- __   --- __  235.0 //  235.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  221.1 //    --- __  189.3 //   37.6 //    --- __   26.0 //  67.1 //    --- __    --- __   --- __ 3.64 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-15T03:08:00.000Z  33  7.350 //   --- __ 30.72 //  4.15 //   --- __  4.15 //   --- __   --- __  8.00 //  0.35 //   --- __  6.52 //   --- __   --- __   --- __   --- __  210.0 //  210.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  209.6 //    --- __  180.6 //   35.3 //    --- __   25.0 //  62.9 //    --- __    --- __   --- __ 4.18 // 1.00 //  --- __  --- __
