  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AN438   37.39N  126.95E 2009-02-21T00:00:00.000Z  70  5.275 //   --- __ 19.27 //  3.78 //   --- __  3.78 //   --- __   --- __  5.93 //   --- __   --- __  5.00 //   --- __   --- __   --- __   --- __  234.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  204.3 //    --- __  157.1 //   56.7 //    --- __   33.4 //  76.6 //    --- __    --- __   5.2 // 3.65 // 1.38 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-21T00:08:00.000Z 100  5.400 //   --- __ 20.57 //  3.60 //   --- __  3.60 //   --- __   --- __  6.00 //  0.10 //   --- __  5.23 //   --- __   --- __   --- __   --- __  245.0 //  245.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  202.2 //    --- __  165.9 //   37.5 //    --- __   25.6 //  69.0 //    --- __    --- __   --- __ 3.81 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-21T00:23:00.000Z  75  5.650 //   --- __ 21.19 //  3.40 //   --- __  3.40 //   --- __   --- __  6.55 //  0.25 //   --- __  5.42 //   --- __   --- __   --- __   --- __  235.0 //  235.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  211.6 //    --- __  171.2 //   50.0 //    --- __   32.2 //  39.9 //    --- __    --- __   --- __ 3.75 // 3.52 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-21T00:38:00.000Z 100  5.425 //  3.97 // 19.98 //  3.25 //   --- __  3.25 //   --- __   --- __  6.10 //  0.10 //   --- __  5.59 //   --- __   --- __   --- __   --- __  200.0 //  240.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  203.3 //  167.1 //  161.0 //   39.7 //   36.9 //   30.3 //  57.2 //    --- __    --- __   --- __ 3.70 // 1.57 // 0.44 //  --- __
     AN438   37.39N  126.95E 2009-02-21T00:53:00.000Z  75  5.500 //   --- __ 20.74 //  4.00 //   --- __  4.00 //   --- __   --- __  6.35 //  0.25 //   --- __  5.75 //   --- __   --- __   --- __   --- __  245.0 //  245.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  198.6 //    --- __  155.0 //   44.1 //    --- __   29.4 //  80.3 //    --- __    --- __   --- __ 3.77 // 1.01 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-21T01:08:00.000Z  75  5.400 //   --- __ 20.57 //  3.30 //   --- __  3.30 //   --- __   --- __  6.00 //  0.10 //   --- __  5.88 //   --- __   --- __   --- __   --- __  200.0 //  200.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  200.6 //    --- __  159.8 //   39.3 //    --- __   28.5 //  75.1 //    --- __    --- __   --- __ 3.81 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-21T01:15:00.000Z 100  6.600 //   --- __ 25.34 //  4.13 //   --- __  4.13 //   --- __   --- __  7.25 //   --- __   --- __  5.80 //   --- __   --- __   --- __   --- __  250.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  205.0 //    --- __  167.7 //   38.2 //    --- __   25.7 //  70.6 //    --- __    --- __   6.5 // 3.84 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-21T01:23:00.000Z 100  5.350 //   --- __ 20.82 //  4.00 //   --- __  4.00 //   --- __   --- __  6.15 //  0.15 //   --- __  6.00 //   --- __   --- __   --- __   --- __  240.0 //  240.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  197.5 //    --- __  156.2 //   34.4 //    --- __   27.5 //  75.2 //    --- __    --- __   --- __ 3.89 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-02-21T01:30:00.000Z 100  5.688 //  3.62 // 21.03 //  3.33 //   --- __  3.33 //   --- __   --- __  6.32 //   --- __   --- __  5.91 //   --- __   --- __   --- __   --- __  185.0 //  234.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  204.7 //  141.7 //  162.7 //   45.3 //   27.8 //   32.7 //  78.2 //    --- __    --- __   5.9 // 3.71 // 1.09 // 0.46 //  --- __
     AN438   37.39N  126.95E 2009-02-21T01:38:00.000Z 100  5.450 //   --- __ 20.82 //  4.00 //   --- __  4.00 //   --- __   --- __  6.15 //  0.10 //   --- __  6.11 //   --- __   --- __   --- __   --- __  240.0 //  240.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  197.2 //    --- __  149.2 //   51.2 //    --- __   33.5 //  77.6 //    --- __    --- __   --- __ 3.82 // 1.34 //  --- __  --- __
