  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-11-06T00:15:00.000Z 100  2.800 //   --- __  9.07 //  2.00 //   --- __  2.00 //   --- __   --- __  3.35 //   --- __   --- __  3.30 //   --- __   --- __   --- __   --- __  283.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  292.4 //    --- __  260.6 //   45.3 //    --- __   24.1 //  44.0 //    --- __    --- __   1.0 // 3.24 // 2.36 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T00:30:00.000Z 100  2.300 //   --- __  8.02 //  1.70 //   --- __  1.70 //   --- __   --- __  2.85 //   --- __   --- __  3.31 //   --- __   --- __   --- __   --- __  267.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  266.5 //    --- __  245.7 //   29.5 //    --- __   15.7 //  29.4 //    --- __    --- __   0.5 // 3.49 // 2.19 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T00:45:00.000Z 100  2.500 //   --- __  8.19 //  1.85 //   --- __  1.85 //   --- __   --- __  3.05 //   --- __   --- __  3.29 //   --- __   --- __   --- __   --- __  276.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  288.6 //    --- __  254.0 //   49.4 //    --- __   26.9 //  44.2 //    --- __    --- __   0.9 // 3.28 // 3.61 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T01:00:00.000Z 100  2.550 //   --- __  8.18 //  1.80 //   --- __  1.80 //   --- __   --- __  3.10 //   --- __   --- __  3.24 //   --- __   --- __   --- __   --- __  275.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  293.8 //    --- __  255.2 //   55.0 //    --- __   30.0 //  48.6 //    --- __    --- __   1.0 // 3.21 // 3.83 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T01:15:00.000Z 100  2.450 //   --- __  8.08 //  2.10 //   --- __  2.10 //   --- __   --- __  3.15 //  0.15 //   --- __  3.17 //   --- __   --- __   --- __   --- __  300.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  284.5 //    --- __  256.0 //   40.5 //    --- __   21.5 //  40.8 //    --- __    --- __   0.7 // 3.30 // 2.09 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T01:30:00.000Z 100  2.600 //   --- __  8.60 //  1.80 //   --- __  1.80 //   --- __   --- __  3.15 //   --- __   --- __  3.08 //   --- __   --- __   --- __   --- __  273.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  285.0 //    --- __  252.5 //   46.3 //    --- __   24.9 //  43.2 //    --- __    --- __   0.9 // 3.31 // 2.87 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T02:00:00.000Z 100  2.650 //   --- __  9.01 //  0.95 //   --- __  0.95 //   --- __   --- __  3.20 //   --- __   --- __  2.88 //   --- __   --- __   --- __   --- __  226.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  263.2 //    --- __  226.6 //   52.1 //    --- __   28.0 //  48.0 //    --- __    --- __   1.0 // 3.40 // 3.04 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T02:15:00.000Z 100  2.800 //   --- __  9.71 //  1.80 //   --- __  1.80 //   --- __   --- __  3.35 //   --- __   --- __  2.78 //   --- __   --- __   --- __   --- __  237.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  260.9 //    --- __  229.7 //   44.5 //    --- __   24.4 //  38.2 //    --- __    --- __   1.0 // 3.47 // 4.52 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T02:30:00.000Z 100  2.700 //   --- __  9.72 //  1.55 //   --- __  1.55 //   --- __   --- __  3.25 //   --- __   --- __  2.70 //   --- __   --- __   --- __   --- __  220.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  242.3 //    --- __  213.1 //   41.4 //    --- __   22.5 //  35.8 //    --- __    --- __   0.8 // 3.60 // 4.33 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T02:45:00.000Z 100  2.650 //   --- __ 10.40 //  2.00 //   --- __  2.00 //   --- __   --- __  3.20 //   --- __   --- __  2.65 //   --- __   --- __   --- __   --- __  233.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  230.2 //    --- __  216.8 //   19.1 //    --- __   10.6 //  19.8 //    --- __    --- __   0.4 // 3.92 // 1.88 //  --- __  --- __
     AT138    38.0N    23.5E 2009-11-06T03:00:00.000Z 100  2.800 //   --- __ 10.51 //  1.85 //   --- __  1.85 //   --- __   --- __  3.35 //   --- __   --- __  2.64 //   --- __   --- __   --- __   --- __  217.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  232.4 //    --- __  209.2 //   33.1 //    --- __   18.0 //  29.4 //    --- __    --- __   0.7 // 3.75 // 3.74 //  --- __  --- __
