  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-08-12T00:00:00.000Z 100  2.700 //   --- __  9.09 //  1.40 //  1.85 //  1.95 //   --- __   --- __  3.60 //  0.35 //   --- __  3.39 //  1.40 //   --- __   --- __   --- __  265.0 //    --- __    --- __   97.0 //  110.0 //   20.0 //    --- __    --- __  276.7 //    --- __  245.4 //   44.7 //    --- __   24.6 //  38.9 //    --- __    --- __   0.9 // 3.37 // 4.19 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T00:15:00.000Z   0    --- __   --- __   --- __  1.70 //  2.00 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.70 //   --- __   --- __   --- __    --- __    --- __    --- __   97.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T00:30:00.000Z   0    --- __   --- __   --- __  1.50 //  2.10 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.50 //   --- __   --- __   --- __    --- __    --- __    --- __   95.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T00:45:00.000Z 100  2.700 //   --- __  7.98 //  2.25 //   --- __  2.25 //   --- __   --- __  3.25 //   --- __   --- __  3.20 //   --- __   --- __   --- __   --- __  314.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  374.2 //    --- __  280.9 //  132.4 //    --- __   72.9 // 109.2 //    --- __    --- __   2.7 // 2.96 // 5.94 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T01:00:00.000Z   0    --- __   --- __   --- __  1.75 //  3.20 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.75 //   --- __   --- __   --- __    --- __    --- __    --- __   99.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T01:15:00.000Z 100  2.900 //   --- __  9.90 //  1.65 //  2.65 //  1.65 //   --- __   --- __  3.45 //   --- __   --- __  3.09 //  1.65 //   --- __   --- __   --- __  204.5 //    --- __    --- __   97.0 //  110.0 //   20.0 //    --- __    --- __  255.3 //    --- __  205.7 //   70.0 //    --- __   37.7 //  59.5 //    --- __    --- __   1.6 // 3.41 // 4.68 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T01:30:00.000Z 100  2.450 //   --- __  8.08 //  1.55 //  2.10 //  1.80 //   --- __   --- __  3.35 //  0.35 //   --- __  3.05 //  1.55 //   --- __   --- __   --- __  287.5 //    --- __    --- __  100.0 //  110.0 //   20.0 //    --- __    --- __  284.2 //    --- __  252.5 //   45.1 //    --- __   23.9 //  45.9 //    --- __    --- __   0.8 // 3.30 // 2.03 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T01:45:00.000Z 100  2.400 //   --- __  7.47 //  1.65 //   --- __  1.65 //   --- __   --- __  3.30 //  0.35 //   --- __  3.02 //   --- __   --- __   --- __   --- __  275.0 //    --- __    --- __    --- __  110.0 //   20.0 //    5.0 //    --- __  302.2 //    --- __  253.0 //   70.1 //    --- __   38.1 //  62.1 //    --- __    --- __   1.1 // 3.11 // 3.75 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T02:00:00.000Z   0    --- __   --- __   --- __  1.75 //  2.25 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.75 //   --- __   --- __   --- __    --- __    --- __    --- __   98.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-12T02:15:00.000Z 100  4.400 //   --- __ 15.94 //  2.65 //   --- __  2.65 //   --- __   --- __  4.95 //   --- __   --- __  3.02 //   --- __   --- __   --- __   --- __  280.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  268.1 //    --- __  252.3 //   23.7 //    --- __   11.3 //  29.7 //    --- __    --- __   1.3 // 3.62 // 1.00 //  --- __  --- __
