  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-07-28T00:00:00.000Z 100  3.300 //   --- __ 10.56 //  2.20 //  4.05 //  2.20 //   --- __   --- __  4.05 //  0.20 //   --- __  3.52 //  2.80 //   --- __   --- __   --- __  281.0 //    --- __    --- __   96.0 //  110.0 //   20.0 //    --- __    --- __  297.3 //    --- __  260.2 //   53.1 //    --- __   28.5 //  49.8 //    --- __    --- __   1.6 // 3.20 // 2.76 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T00:15:00.000Z 100  3.150 //   --- __  9.58 //  1.70 //   --- __  1.70 //   --- __   --- __  3.90 //  0.20 //   --- __  3.44 //   --- __   --- __   --- __   --- __  277.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  313.7 //    --- __  265.6 //   68.4 //    --- __   36.6 //  62.8 //    --- __    --- __   1.9 // 3.04 // 3.07 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T00:30:00.000Z 100  3.100 //   --- __  9.45 //  1.65 //   --- __  1.65 //   --- __   --- __  3.95 //  0.30 //   --- __  3.38 //   --- __   --- __   --- __   --- __  292.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  314.7 //    --- __  270.6 //   63.1 //    --- __   33.8 //  60.8 //    --- __    --- __   1.7 // 3.05 // 2.47 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T00:45:00.000Z 100  3.000 //   --- __  9.37 //  1.00 //  3.80 //  2.05 //   --- __   --- __  3.85 //  0.30 //   --- __  3.33 //  1.00 //   --- __   --- __   --- __  322.0 //    --- __    --- __  100.0 //  110.0 //   20.0 //    --- __    --- __  309.1 //    --- __  272.7 //   52.2 //    --- __   27.0 //  55.4 //    --- __    --- __   1.3 // 3.12 // 1.71 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T01:00:00.000Z 100  2.800 //   --- __  9.05 //  1.60 //  4.60 //  1.95 //   --- __   --- __  3.50 //  0.15 //   --- __  3.30 //  1.60 //   --- __   --- __   --- __  297.5 //    --- __    --- __  100.0 //  110.0 //   20.0 //    --- __    --- __  292.9 //    --- __  261.8 //   44.5 //    --- __   23.1 //  47.5 //    --- __    --- __   1.0 // 3.23 // 1.69 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T01:15:00.000Z   0    --- __   --- __   --- __  1.65 //  3.30 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.65 //   --- __   --- __   --- __    --- __    --- __    --- __   97.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T01:30:00.000Z   0    --- __   --- __   --- __  1.55 //  3.20 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.55 //   --- __   --- __   --- __    --- __    --- __    --- __   96.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T01:45:00.000Z 100  2.950 //   --- __  9.48 //  1.85 //  2.15 //  2.70 //   --- __   --- __  3.50 //   --- __   --- __  3.27 //  1.85 //   --- __   --- __   --- __  340.0 //    --- __    --- __  100.0 //  110.0 //   20.0 //    --- __    --- __  292.3 //    --- __  258.0 //   49.0 //    --- __   25.4 //  50.9 //    --- __    --- __   1.2 // 3.21 // 1.84 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T02:00:00.000Z 100  2.850 //   --- __  9.71 //  1.80 //  3.10 //  2.45 //   --- __   --- __  3.60 //  0.20 //   --- __  3.28 //  1.80 //   --- __   --- __   --- __  282.5 //    --- __    --- __  100.0 //  110.0 //   20.0 //    --- __    --- __  267.9 //    --- __  241.0 //   38.4 //    --- __   20.2 //  38.9 //    --- __    --- __   0.9 // 3.41 // 2.03 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-28T02:15:00.000Z 100  2.500 //   --- __  8.67 //  1.75 //   --- __  1.75 //   --- __   --- __  3.30 //  0.25 //   --- __  3.30 //   --- __   --- __   --- __   --- __  255.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  261.2 //    --- __  230.6 //   43.5 //    --- __   23.6 //  40.5 //    --- __    --- __   0.8 // 3.47 // 2.97 //  --- __  --- __
