  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-05-22T00:00:00.000Z 100  2.950 //   --- __  9.38 //  1.75 //   --- __  1.75 //   --- __   --- __  3.65 //  0.15 //   --- __  3.61 //   --- __   --- __   --- __   --- __  266.3 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  295.0 //    --- __  254.0 //   58.4 //    --- __   31.5 //  52.6 //    --- __    --- __   1.4 // 3.18 // 3.40 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T00:15:00.000Z 100  2.900 //   --- __  9.55 //  1.80 //   --- __  1.80 //   --- __   --- __  3.45 //   --- __   --- __  3.55 //   --- __   --- __   --- __   --- __  267.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  283.8 //    --- __  250.8 //   47.1 //    --- __   25.2 //  44.8 //    --- __    --- __   1.1 // 3.29 // 2.61 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T00:30:00.000Z 100  2.800 //   --- __  8.75 //  2.00 //   --- __  2.00 //   --- __   --- __  3.35 //   --- __   --- __  3.49 //   --- __   --- __   --- __   --- __  284.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  302.8 //    --- __  258.6 //   63.1 //    --- __   34.3 //  56.9 //    --- __    --- __   1.4 // 3.13 // 3.44 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T00:45:00.000Z   0    --- __   --- __   --- __  1.70 //  1.95 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.70 //   --- __   --- __   --- __    --- __    --- __    --- __  100.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T01:00:00.000Z 100  2.700 //   --- __  8.55 //  1.60 //  1.85 //  2.05 //   --- __   --- __  3.25 //   --- __   --- __  3.38 //  1.60 //   --- __   --- __   --- __  290.5 //    --- __    --- __   97.0 //  110.0 //   20.0 //    --- __    --- __  295.2 //    --- __  256.8 //   54.8 //    --- __   29.4 //  52.8 //    --- __    --- __   1.1 // 3.16 // 2.48 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T01:15:00.000Z 100  2.800 //   --- __  9.03 //  1.85 //   --- __  1.85 //   --- __   --- __  3.35 //   --- __   --- __  3.34 //   --- __   --- __   --- __   --- __  271.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  290.0 //    --- __  250.9 //   55.8 //    --- __   30.1 //  51.8 //    --- __    --- __   1.2 // 3.23 // 2.94 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T02:15:00.000Z 100  2.700 //   --- __  8.98 //  2.10 //   --- __  2.10 //   --- __   --- __  3.25 //   --- __   --- __  3.31 //   --- __   --- __   --- __   --- __  278.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  269.7 //    --- __  235.3 //   48.3 //    --- __   25.9 //  49.3 //    --- __    --- __   1.0 // 3.33 // 2.08 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T02:45:00.000Z  70  3.150 //   --- __ 10.55 //  2.80 //   --- __  2.80 //   --- __   --- __  3.75 //  0.05 //   --- __  3.42 //   --- __   --- __   --- __   --- __  300.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  261.4 //    --- __  222.4 //   53.5 //    --- __   28.9 //  57.2 //    --- __    --- __   1.6 // 3.35 // 1.90 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T03:00:00.000Z  70  3.550 //   --- __ 12.28 //  2.65 //   --- __  2.65 //   --- __   --- __  4.15 //  0.05 //   --- __  3.52 //   --- __   --- __   --- __   --- __  251.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  242.5 //    --- __  202.8 //   54.3 //    --- __   29.6 //  58.0 //    --- __    --- __   2.1 // 3.46 // 1.95 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T03:15:00.000Z  70  3.800 //   --- __ 13.54 //  3.00 //   --- __  3.00 //   --- __   --- __  4.40 //  0.05 //   --- __  3.63 //   --- __   --- __   --- __   --- __  237.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  228.4 //    --- __  185.8 //   58.8 //    --- __   32.4 //  60.8 //    --- __    --- __   2.6 // 3.56 // 2.17 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T04:00:00.000Z  70  3.500 //   --- __  8.81 //  3.25 //   --- __  3.25 //   --- __   --- __  4.05 //   --- __   --- __  4.08 //   --- __   --- __   --- __   --- __  495.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  312.2 //    --- __  183.9 //  161.5 //    --- __   91.5 // 188.2 //    --- __    --- __   6.0 // 2.52 // 1.78 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T04:15:00.000Z  70  4.500 //   --- __ 13.90 //  3.45 //   --- __  3.45 //   --- __   --- __  5.05 //   --- __   --- __  4.25 //   --- __   --- __   --- __   --- __  317.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  252.7 //    --- __  181.7 //   80.7 //    --- __   48.0 // 118.1 //    --- __    --- __   5.4 // 3.09 // 1.17 //  --- __  --- __
     AT138    38.0N    23.5E 2009-05-22T04:30:00.000Z  70  3.700 //   --- __ 14.31 //  3.30 //   --- __  3.30 //   --- __   --- __  4.25 //   --- __   --- __  4.42 //   --- __   --- __   --- __   --- __  230.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  187.0 //    --- __  143.6 //   55.5 //    --- __   31.4 //  63.6 //    --- __    --- __   2.5 // 3.87 // 1.94 //  --- __  --- __
