  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AL945   45.07N  276.44E 2019-03-28T00:00:00.000Z 100  4.550 //   --- __ 15.43 //  1.75 //   --- __  1.75 //   --- __   --- __  5.38 //  0.10 //   --- __  4.28 //   --- __   --- __   --- __   --- __  223.0 //  223.0 //    --- __    --- __    --- __    --- __    --- __    --- __  245.4 //    --- __  204.0 //   58.5 //    --- __   32.3 //  56.7 //    --- __    --- __   3.6 // 3.39 // 2.55 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T00:15:00.000Z  75  4.425 //   --- __ 14.57 //  1.67 //   --- __  1.67 //   --- __   --- __  5.15 //  0.20 //   --- __  4.16 //   --- __   --- __   --- __   --- __  212.0 //  212.0 //    --- __    --- __    --- __    --- __   12.3 //    --- __  260.1 //    --- __  205.7 //   77.6 //    --- __   41.8 //  61.9 //    --- __    --- __   4.2 // 3.29 // 5.28 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T00:30:00.000Z  75  4.400 //   --- __ 14.62 //  1.70 //   --- __  1.70 //   --- __   --- __  5.20 //  0.17 //   --- __  4.02 //   --- __   --- __   --- __   --- __  224.0 //  224.0 //    --- __    --- __    --- __    --- __    4.4 //    --- __  262.9 //    --- __  221.2 //   59.0 //    --- __   31.5 //  51.9 //    --- __    --- __   3.2 // 3.32 // 3.29 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T00:45:00.000Z  33  3.675 //   --- __ 13.73 //  1.73 //   --- __  1.73 //   --- __   --- __  5.20 //  0.10 //   --- __  3.88 //   --- __   --- __   --- __   --- __  224.0 //  224.0 //    --- __    --- __    --- __    --- __   13.3 //    --- __  232.9 //    --- __  213.8 //   27.0 //    --- __   14.3 //  28.4 //    --- __    --- __   1.1 // 3.73 // 1.84 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T01:00:00.000Z  33  3.550 //   --- __ 13.46 //  1.70 //   --- __  1.70 //   --- __   --- __   --- __  0.05 //   --- __  3.75 //   --- __   --- __   --- __   --- __  224.0 //  224.0 //    --- __    --- __    --- __    --- __   12.8 //    --- __  231.3 //    --- __  215.5 //   22.5 //    --- __   11.5 //  25.4 //    --- __    --- __   0.8 // 3.79 // 1.45 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T01:15:00.000Z  33  3.275 //   --- __ 12.59 //  1.83 //   --- __  1.83 //   --- __   --- __  4.70 //  0.17 //   --- __  3.61 //   --- __   --- __   --- __   --- __  232.0 //  232.0 //    --- __    --- __    --- __    --- __    5.7 //    --- __  236.9 //    --- __  221.5 //   22.1 //    --- __   11.2 //  25.0 //    --- __    --- __   0.7 // 3.84 // 1.41 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T01:30:00.000Z  33  3.800 //   --- __ 12.95 //  1.73 //   --- __  1.73 //   --- __   --- __  4.57 //  0.90 //   --- __  3.48 //   --- __   --- __   --- __   --- __  227.5 //  227.5 //    --- __    --- __    --- __    --- __    7.8 //    --- __  263.6 //    --- __  232.0 //   45.2 //    --- __   23.5 //  43.9 //    --- __    --- __   1.8 // 3.41 // 2.24 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T01:45:00.000Z   0  2.850 //   --- __ 10.68 //  1.70 //   --- __  1.70 //   --- __   --- __  4.45 //  0.08 //   --- __  3.36 //   --- __   --- __   --- __   --- __  236.0 //  236.0 //    --- __    --- __    --- __    --- __    9.3 //    --- __  233.4 //    --- __  218.4 //   21.3 //    --- __   11.3 //  22.0 //    --- __    --- __   0.5 // 3.75 // 1.96 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T02:00:00.000Z  33  2.575 //   --- __  9.84 //  1.63 //   --- __  1.63 //   --- __   --- __   --- __  0.10 //   --- __  3.24 //   --- __   --- __   --- __   --- __  222.0 //  222.0 //    --- __    --- __    --- __    --- __    4.7 //    --- __  223.0 //    --- __  206.7 //   23.1 //    --- __   12.3 //  23.1 //    --- __    --- __   0.4 // 3.82 // 2.15 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T02:15:00.000Z  33  1.850 //   --- __  7.43 //  1.70 //   --- __  1.70 //   --- __   --- __  3.70 //  0.25 //   --- __  3.14 //   --- __   --- __   --- __   --- __  221.5 //  221.5 //    --- __    --- __    --- __    --- __    --- __    --- __  209.8 //    --- __  198.3 //   16.2 //    --- __   10.6 //  16.0 //    --- __    --- __   0.2 // 4.01 // 2.40 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T02:30:00.000Z  50  3.025 //   --- __ 10.31 //  1.77 //   --- __  1.77 //   --- __   --- __  3.95 //  0.50 //   --- __  3.04 //   --- __   --- __   --- __   --- __  239.0 //  239.0 //    --- __    --- __    --- __    --- __   16.4 //    --- __  262.4 //    --- __  233.0 //   41.8 //    --- __   22.4 //  39.1 //    --- __    --- __   1.1 // 3.41 // 2.71 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T02:45:00.000Z  50  2.250 //   --- __  7.41 //  1.70 //   --- __  1.70 //   --- __   --- __  3.97 //  1.05 //   --- __  2.95 //   --- __   --- __   --- __   --- __  249.0 //  249.0 //    --- __    --- __    --- __    --- __    --- __    --- __  269.8 //    --- __  238.6 //   44.5 //    --- __   24.3 //  40.0 //    --- __    --- __   0.7 // 3.29 // 3.19 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T03:00:00.000Z  50  2.950 //   --- __  9.38 //  2.00 //   --- __  2.00 //   --- __   --- __  3.67 //  0.08 //   --- __  2.87 //   --- __   --- __   --- __   --- __  366.0 //  366.0 //    --- __    --- __    --- __    --- __    2.9 //    --- __  318.0 //    --- __  288.4 //   42.6 //    --- __   20.2 //  56.1 //    --- __    --- __   1.0 // 3.18 // 1.00 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T03:15:00.000Z  75  2.825 //   --- __  8.66 //  1.77 //   --- __  1.77 //   --- __   --- __  3.70 //  0.22 //   --- __  2.93 //   --- __   --- __   --- __   --- __  266.3 //  266.3 //    --- __    --- __  110.0 //   20.0 //   29.0 //    --- __  307.9 //    --- __  269.0 //   54.8 //    --- __   27.7 //  57.2 //    --- __    --- __   1.2 // 3.06 // 1.75 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T03:30:00.000Z  33  2.200 //   --- __  8.16 //  1.65 //   --- __  1.65 //   --- __   --- __  3.20 //  0.32 //   --- __  2.73 //   --- __   --- __   --- __   --- __  248.8 //  248.8 //    --- __    --- __    --- __    --- __   16.4 //    --- __  240.1 //    --- __  224.6 //   21.8 //    --- __   11.5 //  22.7 //    --- __    --- __   0.3 // 3.71 // 1.91 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T03:45:00.000Z 100  2.450 //   --- __  8.29 //  1.65 //   --- __  1.65 //   --- __   --- __  3.35 //  0.05 //   --- __  2.67 //   --- __   --- __   --- __   --- __  249.0 //  249.0 //    --- __    --- __    --- __    --- __    8.2 //    --- __  262.7 //    --- __  235.2 //   39.2 //    --- __   21.2 //  35.5 //    --- __    --- __   0.7 // 3.38 // 3.03 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T04:00:00.000Z  33  2.475 //   --- __  8.11 //  1.73 //   --- __  1.73 //   --- __   --- __  3.17 //  0.05 //   --- __  2.62 //   --- __   --- __   --- __   --- __  307.0 //  307.0 //    --- __    --- __    --- __    --- __   16.6 //    --- __  292.3 //    --- __  266.4 //   36.4 //    --- __   18.2 //  44.6 //    --- __    --- __   0.6 // 3.28 // 1.19 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-28T04:15:00.000Z   0  2.050 //   --- __  5.82 //  1.75 //   --- __  1.75 //   --- __   --- __   --- __  0.10 //   --- __  2.57 //   --- __   --- __   --- __   --- __  417.5 //  417.5 //    --- __    --- __    --- __    --- __    --- __    --- __  336.3 //    --- __  286.9 //   67.9 //    --- __   34.7 //  77.5 //    --- __    --- __   0.8 // 2.84 // 1.44 //  --- __  --- __
