  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AL945   45.07N  276.44E 2019-04-03T00:00:00.000Z 100  4.075 //   --- __ 13.13 //  1.70 //   --- __  1.70 //   --- __   --- __  4.97 //  0.15 //   --- __  4.73 //   --- __   --- __   --- __   --- __  246.0 //  246.0 //    --- __    --- __    --- __    --- __    --- __    --- __  254.5 //    --- __  208.8 //   62.6 //    --- __   35.2 //  66.6 //    --- __    --- __   3.3 // 3.22 // 2.02 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T00:15:00.000Z 100  4.050 //   --- __ 12.62 //  1.70 //   --- __  1.70 //   --- __   --- __  4.88 //  0.15 //   --- __  4.68 //   --- __   --- __   --- __   --- __  247.0 //  247.0 //    --- __    --- __    --- __    --- __    --- __    --- __  272.5 //    --- __  222.7 //   69.1 //    --- __   37.8 //  72.6 //    --- __    --- __   3.4 // 3.12 // 2.02 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T00:30:00.000Z 100  4.150 //   --- __ 13.15 //  1.67 //   --- __  1.67 //   --- __   --- __  5.05 //  0.22 //   --- __  4.60 //   --- __   --- __   --- __   --- __  244.0 //  244.0 //    --- __    --- __    --- __    --- __    --- __    --- __  284.1 //    --- __  232.4 //   73.8 //    --- __   40.4 //  64.8 //    --- __    --- __   3.6 // 3.17 // 3.40 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T00:45:00.000Z  75  4.375 //   --- __ 13.80 //  1.60 //   --- __  1.60 //   --- __   --- __  5.32 //  0.38 //   --- __  4.50 //   --- __   --- __   --- __   --- __  239.5 //  239.5 //    --- __    --- __    --- __    --- __    --- __    --- __  285.6 //    --- __  241.1 //   63.1 //    --- __   33.7 //  59.8 //    --- __    --- __   3.4 // 3.15 // 2.60 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T01:00:00.000Z 100  4.375 //   --- __ 14.03 //  1.70 //   --- __  1.70 //   --- __   --- __  5.30 //  0.25 //   --- __  4.37 //   --- __   --- __   --- __   --- __  251.5 //  251.5 //    --- __    --- __    --- __    --- __    7.8 //    --- __  285.7 //    --- __  246.2 //   56.4 //    --- __   30.0 //  53.7 //    --- __    --- __   3.0 // 3.21 // 2.51 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T01:15:00.000Z  50  4.500 //   --- __ 14.47 //  2.10 //   --- __  2.10 //   --- __   --- __  5.32 //  0.25 //   --- __  4.23 //   --- __   --- __   --- __   --- __  248.0 //  248.0 //    --- __    --- __    --- __    --- __    9.7 //    --- __  281.9 //    --- __  247.8 //   48.7 //    --- __   25.5 //  46.5 //    --- __    --- __   2.7 // 3.22 // 2.37 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T01:30:00.000Z  50  4.725 //   --- __ 14.53 //  1.67 //   --- __  1.67 //   --- __   --- __  5.40 //  0.17 //   --- __  4.07 //   --- __   --- __   --- __   --- __  241.0 //  241.0 //    --- __    --- __    --- __    --- __    7.6 //    --- __  303.0 //    --- __  254.3 //   69.1 //    --- __   36.4 //  60.0 //    --- __    --- __   4.2 // 3.08 // 3.25 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T01:45:00.000Z  33  4.425 //   --- __ 13.88 //  1.77 //   --- __  1.77 //   --- __   --- __  5.25 //  0.17 //   --- __  3.91 //   --- __   --- __   --- __   --- __  246.5 //  246.5 //    --- __    --- __    --- __    --- __    7.0 //    --- __  288.5 //    --- __  248.7 //   56.4 //    --- __   29.9 //  49.1 //    --- __    --- __   3.0 // 3.14 // 3.25 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T02:00:00.000Z  50  3.775 //   --- __ 12.78 //  1.67 //   --- __  1.67 //   --- __   --- __  4.53 //  0.68 //   --- __  3.75 //   --- __   --- __   --- __   --- __  241.0 //  241.0 //    --- __    --- __    --- __    --- __    8.9 //    --- __  268.5 //    --- __  243.0 //   36.8 //    --- __   18.7 //  38.7 //    --- __    --- __   1.4 // 3.38 // 1.73 //  --- __  --- __
     AL945   45.07N  276.44E 2019-04-03T02:15:00.000Z  75  3.575 //   --- __ 11.74 //  1.73 //   --- __  1.73 //   --- __   --- __  4.68 //  0.38 //   --- __  3.60 //   --- __   --- __   --- __   --- __  249.0 //  249.0 //    --- __    --- __    --- __    --- __    8.6 //    --- __  280.3 //    --- __  245.7 //   49.3 //    --- __   26.7 //  43.0 //    --- __    --- __   1.8 // 3.28 // 3.44 //  --- __  --- __
