  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-09-13T00:15:00.000Z 100  2.500 //   --- __  8.32 //  1.85 //   --- __  1.85 //   --- __   --- __  3.05 //   --- __   --- __  3.42 //   --- __   --- __   --- __   --- __  280.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  280.5 //    --- __  252.8 //   39.4 //    --- __   20.9 //  39.2 //    --- __    --- __   0.7 // 3.33 // 2.18 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T00:30:00.000Z 100  2.550 //   --- __  7.91 //  1.65 //   --- __  1.65 //   --- __   --- __  3.10 //   --- __   --- __  3.38 //   --- __   --- __   --- __   --- __  277.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  304.5 //    --- __  259.2 //   64.4 //    --- __   35.0 //  56.9 //    --- __    --- __   1.2 // 3.10 // 3.79 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T01:00:00.000Z 100  2.400 //   --- __  7.77 //  1.60 //   --- __  1.60 //   --- __   --- __  2.95 //   --- __   --- __  3.26 //   --- __   --- __   --- __   --- __  285.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  289.9 //    --- __  258.3 //   44.8 //    --- __   23.7 //  45.9 //    --- __    --- __   0.7 // 3.24 // 2.00 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T01:30:00.000Z 100  2.500 //   --- __  7.78 //  1.55 //   --- __  1.55 //   --- __   --- __  3.05 //   --- __   --- __  3.12 //   --- __   --- __   --- __   --- __  279.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  303.9 //    --- __  260.0 //   62.5 //    --- __   33.7 //  58.1 //    --- __    --- __   1.1 // 3.11 // 2.93 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T01:45:00.000Z 100  2.300 //   --- __  7.64 //  1.70 //   --- __  1.70 //   --- __   --- __  2.85 //   --- __   --- __  3.05 //   --- __   --- __   --- __   --- __  297.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  285.0 //    --- __  255.4 //   42.0 //    --- __   22.2 //  44.5 //    --- __    --- __   0.6 // 3.32 // 1.81 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T02:00:00.000Z 100  2.400 //   --- __  7.94 //  1.95 //   --- __  1.95 //   --- __   --- __  3.05 //  0.10 //   --- __  2.99 //   --- __   --- __   --- __   --- __  290.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  282.1 //    --- __  250.0 //   45.8 //    --- __   24.5 //  45.2 //    --- __    --- __   0.8 // 3.31 // 2.27 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T03:00:00.000Z 100  2.300 //   --- __  8.37 //  1.85 //   --- __  1.85 //   --- __   --- __  2.85 //   --- __   --- __  3.00 //   --- __   --- __   --- __   --- __  252.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  245.9 //    --- __  225.5 //   28.8 //    --- __   15.4 //  29.1 //    --- __    --- __   0.4 // 3.64 // 2.12 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T04:00:00.000Z  70  3.000 //   --- __ 10.31 //  2.55 //   --- __  2.55 //   --- __   --- __  3.65 //  0.10 //   --- __  3.48 //   --- __   --- __   --- __   --- __  267.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  240.9 //    --- __  196.6 //   60.6 //    --- __   33.4 //  63.3 //    --- __    --- __   1.7 // 3.44 // 2.13 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T04:15:00.000Z 100  3.400 //   --- __ 12.33 //  1.95 //   --- __  1.95 //   --- __   --- __  4.05 //  0.10 //   --- __  3.65 //   --- __   --- __   --- __   --- __  226.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  224.5 //    --- __  185.2 //   53.3 //    --- __   30.5 //  60.1 //    --- __    --- __   2.0 // 3.63 // 1.84 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T04:30:00.000Z 100  3.750 //   --- __ 13.80 //  1.40 //  1.80 //  2.45 //  1.40 //  1.81 //  4.30 //   --- __  0.25 //  3.83 //  1.40 //   --- __   --- __   --- __  210.0 //    --- __  117.5 //  117.5 //  107.0 //   16.8 //    --- __    --- __  210.2 //    --- __  163.1 //   64.7 //    --- __   36.1 //  68.1 //    --- __    --- __   2.9 // 3.68 // 2.18 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T04:45:00.000Z 100  3.850 //   --- __ 13.65 //  1.60 //  2.30 //  2.50 //   --- __   --- __  4.60 //  0.20 //   --- __  4.00 //  1.60 //   --- __   --- __   --- __  200.0 //    --- __    --- __  119.0 //  110.0 //   20.0 //    --- __    --- __  221.5 //    --- __  162.7 //   83.3 //    --- __   45.2 //  76.6 //    --- __    --- __   3.6 // 3.55 // 3.18 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T05:00:00.000Z 100  4.200 //   --- __ 15.23 //  1.60 //  2.20 //  3.00 //  1.60 //  2.21 //  4.90 //  0.15 //  0.10 //  4.18 //  1.60 //   --- __   --- __   --- __  225.0 //    --- __  110.0 //  110.0 //  114.3 //   23.9 //    --- __    --- __  210.6 //    --- __  160.2 //   65.2 //    --- __   37.2 //  74.0 //    --- __    --- __   3.7 // 3.63 // 1.97 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T05:15:00.000Z 100  4.300 //   --- __ 15.26 //  2.55 //   --- __  2.55 //   --- __   --- __  4.85 //   --- __   --- __  4.34 //   --- __   --- __   --- __   --- __  192.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  218.5 //    --- __  157.2 //   82.6 //    --- __   46.0 //  85.3 //    --- __    --- __   4.6 // 3.55 // 2.36 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T05:30:00.000Z  70  4.850 //   --- __ 18.11 //  2.10 //  2.20 //  3.15 //  2.10 //  2.21 //  5.40 //   --- __  0.05 //  4.50 //  2.10 //   --- __   --- __   --- __  240.0 //    --- __  132.5 //  132.5 //  110.0 //   20.0 //    2.5 //    --- __  208.9 //    --- __  168.8 //   46.4 //    --- __   29.7 //  73.4 //    --- __    --- __   4.0 // 3.73 // 1.09 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T05:45:00.000Z 100  5.100 //   --- __ 19.29 //  2.50 //  3.30 //  3.15 //  2.50 //  2.66 //  5.80 //  0.15 //  0.15 //  4.64 //  2.70 //   --- __   --- __   --- __  223.5 //    --- __  130.0 //  117.0 //  104.1 //   13.8 //    --- __    --- __  197.6 //    --- __  157.1 //   43.8 //    --- __   29.5 //  76.1 //    --- __    --- __   4.5 // 3.78 // 1.02 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T06:00:00.000Z 100  4.900 //   --- __ 19.76 //  1.70 //  2.60 //  3.10 //  1.70 //  2.61 //  5.50 //  0.05 //  0.30 //  4.77 //  1.70 //   --- __   --- __   --- __  223.5 //    --- __  105.0 //  105.0 //  114.6 //   24.1 //    --- __    --- __  188.2 //    --- __  160.9 //   27.3 //    --- __   20.3 //  56.1 //    --- __    --- __   3.0 // 4.03 // 1.00 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T06:15:00.000Z  70  4.750 //   --- __ 17.71 //  1.80 //  3.25 //  4.25 //  1.80 //  2.66 //  5.35 //  0.05 //  0.05 //  4.89 //  2.70 //   --- __   --- __   --- __  252.5 //    --- __  100.0 //  115.0 //  104.8 //   14.5 //    --- __    --- __  185.1 //    --- __  136.2 //   56.7 //    --- __   33.4 //  77.6 //    --- __    --- __   4.2 // 3.73 // 1.45 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T06:30:00.000Z  70  4.700 //   --- __ 16.61 //  2.60 //  3.25 //  3.70 //  2.60 //  2.76 //  5.30 //  0.05 //  0.05 //  5.01 //  2.80 //   --- __   --- __   --- __  240.0 //    --- __  135.0 //  115.0 //  105.9 //   15.6 //    --- __    --- __  202.7 //    --- __  137.9 //   75.6 //    --- __   44.8 //  94.2 //    --- __    --- __   5.4 // 3.53 // 1.72 //  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T06:45:00.000Z   0  4.900 //  3.95 // 17.31 //  1.90 //  3.75 //  3.40 //  1.90 //  2.76 //  5.45 //   --- __  1.55 //   --- __  2.80 //   --- __   --- __   --- __  213.5 //  270.0 //  100.0 //  111.0 //  101.7 //   11.6 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __ 3.53 //  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-09-13T07:00:00.000Z 100  5.313 //  3.94 // 19.26 //  2.65 //  3.25 //  3.60 //  2.65 //  3.01 //  5.85 //   --- __  0.05 //  5.22 //  3.05 //   --- __   --- __   --- __  255.0 //  266.0 //  125.0 //  112.0 //  112.2 //   21.7 //    --- __    --- __  209.1 //  173.4 //  159.1 //   36.2 //   52.6 //   32.8 //  61.1 //    --- __    --- __   5.3 // 3.63 // 1.33 // 0.66 //  --- __
     AT138    38.0N    23.5E 2009-09-13T07:15:00.000Z 100  5.413 //  4.07 // 19.93 //  2.60 //  3.20 //  3.40 //  2.60 //  2.91 //  5.95 //   --- __  0.05 //  5.33 //  2.95 //   --- __   --- __   --- __  209.5 //  261.0 //  102.5 //  115.0 //   98.0 //    7.9 //    --- __    --- __  199.9 //  162.4 //  148.1 //   36.1 //   45.3 //   33.6 //  68.6 //    --- __    --- __   5.5 // 3.69 // 1.21 // 0.50 //  --- __
     AT138    38.0N    23.5E 2009-09-13T07:30:00.000Z 100  5.425 //  4.12 // 19.72 //  2.80 //  3.50 //  3.70 //  2.80 //  3.11 //  5.95 //   --- __  0.55 //  5.44 //  3.15 //   --- __   --- __   --- __  250.0 //  271.0 //  115.0 //  107.0 //  102.0 //   11.7 //    --- __    2.5 //  209.4 //  174.8 //  162.8 //   33.5 //   34.4 //   33.2 //  62.9 //    --- __    --- __   5.6 // 3.65 // 1.24 // 0.50 //  --- __
     AT138    38.0N    23.5E 2009-09-13T07:45:00.000Z 100  5.375 //  4.15 // 19.83 //  2.85 //  3.80 //  3.75 //  2.85 //  3.06 //  5.90 //   --- __  0.10 //  5.55 //  3.10 //   --- __   --- __   --- __  226.0 //  266.0 //  120.0 //  107.0 //  102.3 //   12.0 //    --- __    --- __  212.5 //  184.9 //  167.4 //   30.4 //   40.9 //   30.9 //  44.7 //    --- __    --- __   5.2 // 3.71 // 1.58 // 0.50 //  --- __
