  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-08-09T00:00:00.000Z 100  4.250 //   --- __ 17.58 //  1.55 //  3.55 //  2.45 //   --- __   --- __  4.80 //   --- __   --- __  3.39 //  1.55 //   --- __   --- __   --- __  212.0 //    --- __    --- __  102.0 //  110.0 //   20.0 //    --- __    --- __  212.2 //    --- __  202.7 //   13.9 //    --- __   10.6 //  15.2 //    --- __    --- __   0.9 // 4.14 // 1.48 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T00:15:00.000Z   0    --- __   --- __   --- __  1.35 //  2.70 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.35 //   --- __   --- __   --- __    --- __    --- __    --- __  105.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T00:30:00.000Z 100  2.100 //   --- __  6.36 //  1.60 //   --- __  1.60 //   --- __   --- __  3.00 //  0.35 //   --- __  3.26 //   --- __   --- __   --- __   --- __  317.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  311.9 //    --- __  266.4 //   64.5 //    --- __   34.5 //  64.0 //    --- __    --- __   0.8 // 3.03 // 2.26 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T00:45:00.000Z 100  2.200 //   --- __  6.68 //  1.55 //   --- __  1.55 //   --- __   --- __  2.75 //   --- __   --- __  3.20 //   --- __   --- __   --- __   --- __  302.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  309.5 //    --- __  264.5 //   63.9 //    --- __   34.2 //  62.7 //    --- __    --- __   0.9 // 3.04 // 2.33 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T01:00:00.000Z   0    --- __   --- __   --- __  1.35 //  2.10 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.35 //   --- __   --- __   --- __    --- __    --- __    --- __   98.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T01:15:00.000Z 100  5.500 //   --- __ 22.08 //  1.60 //  1.85 //  2.35 //   --- __   --- __  6.05 //   --- __   --- __  3.09 //  1.60 //   --- __   --- __   --- __  207.0 //    --- __    --- __   97.0 //  110.0 //   20.0 //    --- __    --- __  219.9 //    --- __  206.7 //   19.4 //    --- __   10.6 //  20.7 //    --- __    --- __   1.7 // 4.01 // 1.56 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T01:30:00.000Z   0    --- __   --- __   --- __  1.55 //  3.40 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.55 //   --- __   --- __   --- __    --- __    --- __    --- __   99.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T01:45:00.000Z 100  3.300 //   --- __ 13.76 //  1.70 //  1.90 //  2.90 //   --- __   --- __  3.85 //   --- __   --- __  3.02 //  1.70 //   --- __   --- __   --- __  215.0 //    --- __    --- __  100.0 //  110.0 //   20.0 //    --- __    --- __  207.5 //    --- __  198.0 //   13.6 //    --- __   10.6 //  13.6 //    --- __    --- __   0.6 // 4.17 // 2.05 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T02:00:00.000Z 100  5.900 //   --- __ 25.23 //  1.70 //   --- __  1.70 //   --- __   --- __  6.45 //   --- __   --- __  3.01 //   --- __   --- __   --- __   --- __  199.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  203.6 //    --- __  196.3 //   10.8 //    --- __   10.6 //  11.3 //    --- __    --- __   1.7 // 4.28 // 1.69 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T02:15:00.000Z   0    --- __   --- __   --- __  1.35 //  3.40 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.35 //   --- __   --- __   --- __    --- __    --- __    --- __   97.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T02:30:00.000Z 100  5.800 //   --- __ 24.80 //  1.65 //  3.75 //  1.65 //   --- __   --- __  6.35 //   --- __   --- __  3.05 //  2.95 //   --- __   --- __   --- __  199.5 //    --- __    --- __   97.0 //  110.0 //   20.0 //    --- __    --- __  204.0 //    --- __  197.2 //   10.2 //    --- __   10.6 //  10.7 //    --- __    --- __   1.6 // 4.28 // 1.72 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T02:45:00.000Z 100  5.500 //   --- __ 23.74 //  1.45 //  3.35 //  2.65 //   --- __   --- __  6.05 //   --- __   --- __  3.10 //  1.45 //   --- __   --- __   --- __  197.0 //    --- __    --- __   96.0 //  110.0 //   20.0 //    --- __    --- __  199.2 //    --- __  190.9 //   12.2 //    --- __   10.7 //  13.4 //    --- __    --- __   1.5 // 4.32 // 1.49 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T03:00:00.000Z   0    --- __   --- __   --- __  2.90 //  3.45 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  2.90 //   --- __   --- __   --- __    --- __    --- __    --- __   97.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T03:15:00.000Z   0    --- __   --- __   --- __  1.50 //  3.45 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.50 //   --- __   --- __   --- __    --- __    --- __    --- __   97.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T03:30:00.000Z   0    --- __   --- __   --- __  1.60 //  2.95 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.60 //   --- __   --- __   --- __    --- __    --- __    --- __   97.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T03:45:00.000Z  50  3.500 //   --- __ 12.21 //  1.55 //  2.75 //  2.60 //   --- __   --- __  4.10 //  0.05 //   --- __  3.54 //  1.55 //   --- __   --- __   --- __  232.5 //    --- __    --- __   97.0 //  110.0 //   20.0 //    --- __    --- __  233.8 //    --- __  182.0 //   73.1 //    --- __   40.1 //  69.9 //    --- __    --- __   2.7 // 3.49 // 2.78 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T04:00:00.000Z 100  3.450 //   --- __ 12.60 //  1.70 //  2.30 //  2.25 //   --- __   --- __  4.10 //  0.10 //   --- __  3.69 //  1.70 //   --- __   --- __   --- __  210.0 //    --- __    --- __   96.0 //  110.0 //   20.0 //    --- __    --- __  212.9 //    --- __  168.5 //   60.3 //    --- __   33.6 //  63.6 //    --- __    --- __   2.3 // 3.65 // 2.16 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T04:15:00.000Z   0    --- __   --- __   --- __  1.30 //  1.85 //   --- __  1.30 //  1.86 //   --- __   --- __  0.40 //   --- __   --- __   --- __   --- __   --- __    --- __    --- __  100.0 //  100.0 //  101.3 //   11.3 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T04:30:00.000Z 100  3.800 //   --- __ 13.94 //  1.35 //  1.80 //  2.50 //  1.35 //  1.81 //  4.40 //  0.05 //  0.10 //  3.99 //  1.35 //   --- __   --- __   --- __  221.0 //    --- __  102.5 //  102.5 //  101.4 //   11.3 //    --- __    --- __  205.9 //    --- __  159.3 //   56.2 //    --- __   33.9 //  76.7 //    --- __    --- __   2.8 // 3.67 // 1.39 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T04:45:00.000Z 100  3.800 //   --- __ 13.21 //  1.35 //  2.35 //  2.70 //  1.35 //  2.36 //  4.35 //   --- __   --- __  4.14 //  1.35 //   --- __   --- __   --- __  218.5 //    --- __   97.5 //   97.5 //  105.8 //   15.5 //    --- __    --- __  222.1 //    --- __  141.5 //  113.5 //    --- __   60.0 // 117.7 //    --- __    --- __   4.7 // 3.48 // 2.40 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T05:00:00.000Z 100  3.650 //   --- __ 14.02 //  1.50 //  1.90 //  2.80 //  1.50 //  1.91 //  4.25 //  0.05 //  0.15 //  4.28 //  1.50 //   --- __   --- __   --- __  205.0 //    --- __  102.5 //  102.5 //   99.7 //    9.5 //    --- __    --- __  191.5 //    --- __  139.8 //   69.6 //    --- __   38.9 //  71.6 //    --- __    --- __   2.8 // 3.84 // 2.41 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T05:15:00.000Z 100  3.600 //   --- __ 13.90 //  2.40 //  2.60 //  3.00 //  2.40 //  2.61 //  4.20 //  0.05 //  0.15 //  4.41 //  2.40 //   --- __   --- __   --- __  220.0 //    --- __  127.5 //  127.5 //  106.0 //   15.7 //    --- __    --- __  178.3 //    --- __  102.6 //   64.6 //    --- __   35.8 //  79.3 //    --- __    --- __   2.7 // 3.86 // 1.89 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T05:30:00.000Z   0    --- __   --- __   --- __  1.70 //  2.15 //   --- __  1.70 //  2.16 //   --- __   --- __  0.15 //   --- __   --- __   --- __   --- __   --- __    --- __    --- __  105.0 //  105.0 //  100.7 //   10.5 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T05:45:00.000Z 100  4.550 //   --- __ 14.94 //  3.05 //   --- __  3.05 //   --- __   --- __  5.15 //  0.05 //   --- __  4.61 //   --- __   --- __   --- __   --- __  233.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  228.2 //    --- __  156.8 //   67.2 //    --- __   44.7 // 125.9 //    --- __    --- __   5.2 // 3.28 // 1.00 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T06:00:00.000Z 100  4.700 //   --- __ 15.96 //  2.45 //  3.15 //  3.10 //  2.45 //  2.71 //  5.25 //   --- __  0.05 //  4.70 //  2.75 //   --- __   --- __   --- __  236.0 //    --- __  125.0 //  123.0 //  108.5 //   18.2 //    --- __    --- __  220.9 //    --- __  152.2 //   62.0 //    --- __   43.4 // 119.7 //    --- __    --- __   5.4 // 3.39 // 1.00 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T06:15:00.000Z 100  4.800 //   --- __ 15.78 //  3.05 //  3.75 //  4.10 //   --- __   --- __  5.35 //   --- __   --- __  4.77 //  3.05 //   --- __   --- __   --- __  312.5 //    --- __    --- __  111.0 //  110.0 //   20.0 //    --- __    --- __  220.0 //    --- __  148.5 //   74.3 //    --- __   46.5 // 117.3 //    --- __    --- __   5.9 // 3.29 // 1.19 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-09T06:30:00.000Z 100  4.957 //  3.73 // 15.82 //  2.90 //  3.50 //  3.50 //   --- __   --- __  5.50 //   --- __   --- __  4.83 //  2.90 //   --- __   --- __   --- __  222.5 //  283.5 //    --- __  112.0 //  110.0 //   20.0 //    --- __    --- __  233.2 //  159.3 //  145.9 //   65.4 //   41.5 //   53.2 // 140.2 //    --- __    --- __   7.0 // 3.20 // 1.07 // 0.09 //  --- __
     AT138    38.0N    23.5E 2009-08-09T06:45:00.000Z 100  5.125 //  4.04 // 16.83 //  2.65 //  3.25 //  3.40 //  2.65 //  2.76 //  5.65 //   --- __   --- __  4.89 //  2.80 //   --- __   --- __   --- __  210.0 //  297.5 //  117.5 //  117.0 //  110.0 //   20.0 //    --- __    --- __  226.9 //  169.1 //  148.5 //   43.8 //   46.7 //   47.0 // 124.6 //    --- __    --- __   6.7 // 3.30 // 1.00 // 0.50 //  --- __
     AT138    38.0N    23.5E 2009-08-09T07:00:00.000Z 100  5.425 //  4.27 // 18.30 //  3.50 //   --- __  3.50 //   --- __   --- __  6.00 //  0.05 //   --- __  4.94 //   --- __   --- __   --- __   --- __  205.0 //  250.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  215.6 //  164.1 //  149.8 //   51.3 //   33.6 //   43.7 // 107.0 //    --- __    --- __   7.0 // 3.39 // 1.20 // 0.50 //  --- __
     AT138    38.0N    23.5E 2009-08-09T07:15:00.000Z 100  5.800 //   --- __ 20.34 //  2.05 //  4.05 //  4.45 //  2.05 //  3.16 //  6.35 //   --- __  0.10 //  5.00 //  3.20 //   --- __   --- __   --- __  280.0 //    --- __   97.5 //  112.0 //  101.3 //   10.9 //    --- __    --- __  206.2 //    --- __  140.0 //   62.9 //    --- __   42.3 // 106.5 //    --- __    --- __   7.8 // 3.51 // 1.09 //  --- __  --- __
