  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AN438   37.39N  126.95E 2009-01-20T00:00:00.000Z  70  4.225 //   --- __ 16.74 //  3.55 //   --- __  3.55 //   --- __   --- __  4.88 //   --- __   --- __  4.64 //   --- __   --- __   --- __   --- __  214.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  181.9 //    --- __  147.8 //   42.4 //    --- __   24.4 //  50.3 //    --- __    --- __   2.6 // 3.96 // 1.81 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T00:08:00.000Z 100  4.200 //   --- __ 15.40 //  3.00 //   --- __  3.00 //   --- __   --- __  4.85 //  0.10 //   --- __  4.85 //   --- __   --- __   --- __   --- __  225.0 //  225.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  198.0 //    --- __  153.9 //   50.5 //    --- __   30.7 //  72.8 //    --- __    --- __   --- __ 3.67 // 1.33 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T00:23:00.000Z  75  4.100 //   --- __ 15.03 //  3.05 //   --- __  3.05 //   --- __   --- __  4.85 //  0.15 //   --- __  5.06 //   --- __   --- __   --- __   --- __  225.0 //  225.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  197.5 //    --- __  147.4 //   60.6 //    --- __   35.5 //  75.7 //    --- __    --- __   --- __ 3.67 // 1.70 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T00:38:00.000Z 100  4.350 //   --- __ 15.77 //  3.10 //   --- __  3.10 //   --- __   --- __  5.05 //  0.10 //   --- __  5.25 //   --- __   --- __   --- __   --- __  235.0 //  235.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  202.1 //    --- __  151.8 //   54.8 //    --- __   34.6 //  80.2 //    --- __    --- __   --- __ 3.63 // 1.38 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T00:45:00.000Z   0  4.725 //  3.78 // 16.60 //  3.58 //   --- __  3.58 //   --- __   --- __  5.38 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  236.0 //  252.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __ 3.51 //  --- __  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T00:53:00.000Z 100  4.700 //   --- __ 17.45 //  3.00 //   --- __  3.00 //   --- __   --- __  5.35 //  0.10 //   --- __  5.43 //   --- __   --- __   --- __   --- __  235.0 //  235.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  201.4 //    --- __  160.0 //   42.5 //    --- __   29.1 //  71.4 //    --- __    --- __   --- __ 3.71 // 1.13 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T01:00:00.000Z  70  4.575 //   --- __ 17.40 //  4.10 //   --- __  4.10 //   --- __   --- __  5.22 //   --- __   --- __  5.39 //   --- __   --- __   --- __   --- __  244.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  182.1 //    --- __  140.6 //   49.9 //    --- __   28.8 //  62.3 //    --- __    --- __   3.4 // 3.80 // 1.66 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T01:08:00.000Z  75  4.450 //   --- __ 16.84 //  3.30 //   --- __  3.30 //   --- __   --- __  5.05 //  0.10 //   --- __  5.60 //   --- __   --- __   --- __   --- __  230.0 //  230.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  189.8 //    --- __  145.0 //   43.6 //    --- __   29.4 //  77.9 //    --- __    --- __   --- __ 3.79 // 1.10 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T01:15:00.000Z 100  4.438 //  3.62 // 16.12 //  3.38 //   --- __  3.38 //   --- __   --- __  5.07 //   --- __   --- __  5.55 //   --- __   --- __   --- __   --- __  235.0 //  243.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  203.1 //  172.8 //  159.9 //   44.4 //   21.9 //   32.5 //  59.2 //    --- __    --- __   3.6 // 3.64 // 1.78 // 0.50 //  --- __
     AN438   37.39N  126.95E 2009-01-20T01:23:00.000Z 100  4.350 //   --- __ 16.29 //  3.40 //   --- __  3.40 //   --- __   --- __  4.85 //  0.10 //   --- __  5.76 //   --- __   --- __   --- __   --- __  250.0 //  250.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  193.1 //    --- __  141.3 //   46.5 //    --- __   32.5 //  90.8 //    --- __    --- __   --- __ 3.74 // 1.05 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T01:30:00.000Z  70  4.925 //   --- __ 17.68 //  4.20 //   --- __  4.20 //   --- __   --- __  5.57 //   --- __   --- __  5.70 //   --- __   --- __   --- __   --- __  269.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  197.0 //    --- __  144.2 //   58.5 //    --- __   34.7 //  88.0 //    --- __    --- __   4.7 // 3.59 // 1.24 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T01:38:00.000Z  75  4.500 //   --- __ 17.04 //  3.40 //   --- __  3.40 //   --- __   --- __  5.20 //  0.15 //   --- __  5.91 //   --- __   --- __   --- __   --- __  240.0 //  240.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  188.2 //    --- __  140.8 //   42.5 //    --- __   29.9 //  85.3 //    --- __    --- __   --- __ 3.79 // 1.00 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T01:53:00.000Z  75  4.200 //   --- __ 15.26 //  3.25 //   --- __  3.25 //   --- __   --- __  4.85 //  0.10 //   --- __  6.04 //   --- __   --- __   --- __   --- __  240.0 //  240.0 //    --- __    --- __  110.0 //   20.0 //    --- __    --- __  198.2 //    --- __  133.3 //   74.1 //    --- __   43.7 //  83.4 //    --- __    --- __   --- __ 3.63 // 2.07 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T02:00:00.000Z  70  4.325 //   --- __ 14.17 //  4.07 //   --- __  4.07 //   --- __   --- __  4.97 //   --- __   --- __  5.98 //   --- __   --- __   --- __   --- __  335.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  201.9 //    --- __  135.0 //   79.2 //    --- __   45.5 // 106.4 //    --- __    --- __   4.7 // 3.28 // 1.54 //  --- __  --- __
     AN438   37.39N  126.95E 2009-01-20T02:08:00.000Z  75  4.400 //   --- __ 15.43 //  3.00 //  3.60 //  3.85 //   --- __   --- __  5.20 //  0.10 //   --- __  6.17 //  3.00 //   --- __   --- __   --- __  305.0 //  305.0 //    --- __  120.0 //  110.0 //   20.0 //    --- __    --- __  198.3 //    --- __  135.5 //   56.1 //    --- __   38.1 // 117.7 //    --- __    --- __   --- __ 3.51 // 1.00 //  --- __  --- __
