  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-07-27T00:00:00.000Z 100  2.800 //   --- __  8.82 //  1.35 //  2.05 //  1.60 //   --- __   --- __  3.50 //  0.15 //   --- __  3.52 //  1.35 //   --- __   --- __   --- __  257.5 //    --- __    --- __   97.0 //  110.0 //   20.0 //    --- __    --- __  296.5 //    --- __  250.3 //   65.4 //    --- __   35.1 //  58.0 //    --- __    --- __   1.4 // 3.15 // 3.65 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T00:15:00.000Z 100  2.700 //   --- __  8.49 //  1.95 //   --- __  1.95 //   --- __   --- __  3.40 //  0.15 //   --- __  3.44 //   --- __   --- __   --- __   --- __  285.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  301.7 //    --- __  258.1 //   62.3 //    --- __   34.1 //  55.4 //    --- __    --- __   1.3 // 3.14 // 3.71 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T00:30:00.000Z 100  2.550 //   --- __  8.29 //  1.05 //  1.65 //  1.80 //   --- __   --- __  3.30 //  0.20 //   --- __  3.38 //  1.05 //   --- __   --- __   --- __  277.5 //    --- __    --- __   97.0 //  110.0 //   20.0 //    --- __    --- __  284.8 //    --- __  250.2 //   49.3 //    --- __   26.5 //  46.1 //    --- __    --- __   0.9 // 3.25 // 2.85 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T00:45:00.000Z 100  2.500 //   --- __  8.12 //  1.60 //   --- __  1.60 //   --- __   --- __  3.25 //  0.20 //   --- __  3.33 //   --- __   --- __   --- __   --- __  265.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  285.7 //    --- __  246.2 //   56.2 //    --- __   30.5 //  49.9 //    --- __    --- __   1.0 // 3.25 // 3.71 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T01:00:00.000Z 100  2.500 //   --- __  7.88 //  1.75 //   --- __  1.75 //   --- __   --- __  3.05 //   --- __   --- __  3.30 //   --- __   --- __   --- __   --- __  280.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  298.7 //    --- __  253.9 //   63.9 //    --- __   34.7 //  57.4 //    --- __    --- __   1.1 // 3.15 // 3.51 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T01:15:00.000Z 100  2.500 //   --- __  7.81 //  2.05 //   --- __  2.05 //   --- __   --- __  3.05 //   --- __   --- __  3.28 //   --- __   --- __   --- __   --- __  312.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  300.1 //    --- __  259.9 //   57.2 //    --- __   30.5 //  56.8 //    --- __    --- __   1.0 // 3.12 // 2.21 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T01:30:00.000Z 100  2.250 //   --- __  7.63 //  1.20 //  1.90 //  1.80 //   --- __   --- __  3.00 //  0.20 //   --- __  3.27 //  1.20 //   --- __   --- __   --- __  282.5 //    --- __    --- __  100.0 //  110.0 //   20.0 //    --- __    --- __  273.3 //    --- __  244.0 //   41.5 //    --- __   22.1 //  42.0 //    --- __    --- __   0.6 // 3.39 // 2.09 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T01:45:00.000Z 100  2.050 //   --- __  7.33 //  1.70 //   --- __  1.70 //   --- __   --- __  2.60 //   --- __   --- __  3.27 //   --- __   --- __   --- __   --- __  275.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  257.7 //    --- __  235.3 //   31.4 //    --- __   16.5 //  33.9 //    --- __    --- __   0.4 // 3.58 // 1.72 //  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T02:00:00.000Z   0    --- __   --- __   --- __  1.45 //  1.70 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.45 //   --- __   --- __   --- __    --- __    --- __    --- __   97.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
     AT138    38.0N    23.5E 2009-07-27T02:30:00.000Z   0    --- __   --- __   --- __  1.50 //  2.10 //   --- __   --- __   --- __   --- __   --- __   --- __   --- __  1.50 //   --- __   --- __   --- __    --- __    --- __    --- __   95.0 //    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __    --- __    --- __   --- __  --- __  --- __  --- __  --- __
