  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AT138    38.0N    23.5E 2009-08-13T00:00:00.000Z 100  3.050 //   --- __  9.26 //  1.30 //  2.30 //  2.00 //   --- __   --- __  4.00 //  0.40 //   --- __  3.39 //  1.30 //   --- __   --- __   --- __  300.5 //    --- __    --- __  102.0 //  110.0 //   20.0 //    2.5 //    --- __  316.8 //    --- __  270.2 //   66.4 //    --- __   35.8 //  61.8 //    --- __    --- __   1.7 // 3.04 // 2.91 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T00:15:00.000Z 100  2.900 //   --- __  9.40 //  2.40 //   --- __  2.40 //   --- __   --- __  3.90 //  0.45 //   --- __  3.33 //   --- __   --- __   --- __   --- __  334.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  299.2 //    --- __  268.4 //   44.1 //    --- __   22.4 //  49.1 //    --- __    --- __   1.0 // 3.24 // 1.45 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T00:30:00.000Z 100  3.100 //   --- __  8.69 //  1.70 //   --- __  1.70 //   --- __   --- __  3.65 //   --- __   --- __  3.26 //   --- __   --- __   --- __   --- __  298.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  350.3 //    --- __  283.5 //   94.9 //    --- __   50.9 //  86.8 //    --- __    --- __   2.5 // 2.81 // 3.14 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T00:45:00.000Z 100  2.950 //   --- __  8.89 //  2.00 //   --- __  2.00 //   --- __   --- __  3.50 //   --- __   --- __  3.20 //   --- __   --- __   --- __   --- __  329.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  324.3 //    --- __  283.3 //   58.9 //    --- __   30.5 //  62.9 //    --- __    --- __   1.4 // 3.01 // 1.68 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T01:00:00.000Z 100  3.100 //   --- __  8.69 //  1.60 //  2.15 //  1.80 //   --- __   --- __  3.65 //   --- __   --- __  3.14 //  1.60 //   --- __   --- __   --- __  313.5 //    --- __    --- __  101.0 //  110.0 //   20.0 //    --- __    --- __  351.3 //    --- __  287.7 //   90.6 //    --- __   48.5 //  85.5 //    --- __    --- __   2.4 // 2.80 // 2.70 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T01:15:00.000Z 100  2.850 //   --- __  9.46 //  1.35 //  1.95 //  2.00 //   --- __   --- __  3.40 //   --- __   --- __  3.09 //  1.35 //   --- __   --- __   --- __  313.5 //    --- __    --- __   95.0 //  110.0 //   20.0 //    --- __    --- __  294.5 //    --- __  268.6 //   37.3 //    --- __   18.9 //  44.9 //    --- __    --- __   0.9 // 3.32 // 1.17 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T01:30:00.000Z 100  3.050 //   --- __  7.90 //  1.55 //  1.95 //  1.70 //   --- __   --- __  3.60 //   --- __   --- __  3.05 //  1.55 //   --- __   --- __   --- __  307.0 //    --- __    --- __   98.0 //  110.0 //   20.0 //    --- __    --- __  386.5 //    --- __  295.5 //  128.9 //    --- __   68.5 // 121.0 //    --- __    --- __   3.3 // 2.59 // 2.78 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T01:45:00.000Z 100  2.700 //   --- __  8.66 //  2.05 //   --- __  2.05 //   --- __   --- __  3.35 //  0.10 //   --- __  3.02 //   --- __   --- __   --- __   --- __  323.0 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  300.2 //    --- __  267.0 //   47.4 //    --- __   24.3 //  53.3 //    --- __    --- __   1.0 // 3.21 // 1.44 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T02:00:00.000Z 100  2.500 //   --- __  8.35 //  1.70 //   --- __  1.70 //   --- __   --- __  3.50 //  0.45 //   --- __  3.01 //   --- __   --- __   --- __   --- __  283.5 //    --- __    --- __    --- __  110.0 //   20.0 //    2.5 //    --- __  279.8 //    --- __  251.6 //   40.1 //    --- __   21.0 //  43.1 //    --- __    --- __   0.7 // 3.34 // 1.69 //  --- __  --- __
     AT138    38.0N    23.5E 2009-08-13T02:15:00.000Z 100  2.500 //   --- __  7.74 //  1.65 //   --- __  1.65 //   --- __   --- __  3.05 //   --- __   --- __  3.02 //   --- __   --- __   --- __   --- __  267.5 //    --- __    --- __    --- __  110.0 //   20.0 //    --- __    --- __  302.6 //    --- __  250.0 //   74.8 //    --- __   40.7 //  65.2 //    --- __    --- __   1.3 // 3.10 // 4.11 //  --- __  --- __
