  stations      lat      lon Time                     CS   foF2 QD  foF1 QD  MUFD QD  fmin QD  foEs QD fminF QD fminE QD   foE QD   fxI QD    FF QD    FE QD foF2p QD minEs QD  foEa QD   foP QD  fbEs QD     hF QD    hF2 QD     hE QD    hEs QD    hmE QD     yE QD     QF QD     QE QD   hmF2 QD   hmF1 QD halfNm QD    yF2 QD    yF1 QD caleF2 QD    B0 QD    hEa QD     hP QD   TEC QD   MD QD   B1 QD   D1 QD peEs QD
     AL945   45.07N  276.44E 2019-03-03T00:00:00.000Z 100  3.175 //   --- __ 10.80 //  1.73 //   --- __  1.73 //   --- __   --- __  4.05 //  0.08 //   --- __  4.28 //   --- __   --- __   --- __   --- __  227.0 //  227.0 //    --- __    --- __    --- __    --- __    --- __    --- __  251.8 //    --- __  216.5 //   49.8 //    --- __   26.8 //  45.7 //    --- __    --- __   1.4 // 3.40 // 2.91 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T00:15:00.000Z 100  2.975 //   --- __  9.45 //  1.65 //   --- __  1.65 //   --- __   --- __  3.78 //  0.17 //   --- __  4.16 //   --- __   --- __   --- __   --- __  233.0 //  233.0 //    --- __    --- __    --- __    --- __    4.1 //    --- __  279.8 //    --- __  228.3 //   73.4 //    --- __   39.8 //  55.8 //    --- __    --- __   1.8 // 3.17 // 5.53 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T00:30:00.000Z 100  2.800 //   --- __  9.12 //  1.52 //   --- __  1.52 //   --- __   --- __  3.60 //  0.10 //   --- __  4.02 //   --- __   --- __   --- __   --- __  234.0 //  234.0 //    --- __    --- __    --- __    --- __    --- __    --- __  275.3 //    --- __  228.5 //   66.9 //    --- __   36.7 //  51.6 //    --- __    --- __   1.5 // 3.26 // 5.56 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T00:45:00.000Z 100  2.625 //   --- __  8.01 //  1.63 //   --- __  1.63 //   --- __   --- __  3.38 //  0.08 //   --- __  3.88 //   --- __   --- __   --- __   --- __  248.0 //  248.0 //    --- __    --- __    --- __    --- __    --- __    --- __  294.9 //    --- __  245.2 //   70.9 //    --- __   39.0 //  53.3 //    --- __    --- __   1.4 // 3.05 // 5.56 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T01:00:00.000Z 100  2.450 //   --- __  7.61 //  1.85 //   --- __  1.85 //   --- __   --- __  3.25 //  0.08 //   --- __  3.75 //   --- __   --- __   --- __   --- __  306.0 //  306.0 //    --- __    --- __    --- __    --- __    8.1 //    --- __  295.0 //    --- __  255.5 //   56.2 //    --- __   30.1 //  56.2 //    --- __    --- __   1.0 // 3.10 // 2.21 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T01:15:00.000Z 100  2.350 //   --- __  7.21 //  1.65 //   --- __  1.65 //   --- __   --- __  3.20 //  0.17 //   --- __  3.61 //   --- __   --- __   --- __   --- __  276.8 //  276.8 //    --- __    --- __    --- __    --- __    4.0 //    --- __  311.9 //    --- __  256.8 //   79.6 //    --- __   44.8 //  64.5 //    --- __    --- __   1.3 // 3.07 // 4.55 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T01:30:00.000Z  75  2.225 //   --- __  7.05 //  1.70 //   --- __  1.70 //   --- __   --- __  3.10 //  0.20 //   --- __  3.48 //   --- __   --- __   --- __   --- __  287.5 //  287.5 //    --- __    --- __    --- __    --- __    3.6 //    --- __  289.9 //    --- __  252.8 //   52.9 //    --- __   28.8 //  49.1 //    --- __    --- __   0.8 // 3.17 // 2.93 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T01:45:00.000Z  75  2.200 //   --- __  6.96 //  1.65 //   --- __  1.65 //   --- __   --- __  3.08 //  0.13 //   --- __  3.36 //   --- __   --- __   --- __   --- __  284.5 //  284.5 //    --- __    --- __    --- __    --- __    5.0 //    --- __  287.7 //    --- __  252.4 //   50.5 //    --- __   27.5 //  47.4 //    --- __    --- __   0.7 // 3.16 // 2.82 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T02:00:00.000Z  75  2.225 //   --- __  6.63 //  1.65 //   --- __  1.65 //   --- __   --- __  3.05 //  0.20 //   --- __  3.24 //   --- __   --- __   --- __   --- __  287.0 //  287.0 //    --- __    --- __    --- __    --- __    --- __    --- __  307.4 //    --- __  263.7 //   61.9 //    --- __   33.3 //  59.5 //    --- __    --- __   0.9 // 2.98 // 2.49 //  --- __  --- __
     AL945   45.07N  276.44E 2019-03-03T02:15:00.000Z   0  2.025 //   --- __  6.59 //  1.52 //   --- __  1.52 //   --- __   --- __   --- __  0.15 //   --- __  3.14 //   --- __   --- __   --- __   --- __  276.0 //  276.0 //    --- __    --- __    --- __    --- __    --- __    --- __  278.8 //    --- __  248.5 //   42.8 //    --- __   23.0 //  42.7 //    --- __    --- __   0.5 // 3.26 // 2.25 //  --- __  --- __
